,TRU
Price/Earnings (TTM),58.39837
Price/Sales (TTM),3.44105
Price/Book (MRQ),2.93459
Price/Cash Flow (TTM),17.09351
5yr Low,50.32
5yr High,125.35
5yr Avg Return,0.06830000000000001
EPS Growth 5yr,0.2302956
Revenue Growth 5yr,0.1166689
Dividend Growth 5yr,
Short Int Current Month,3186607.0
Short Int Prev Month,3331661.0
Short Int Pct of Float,0.0165911
Days to Cover,1.68595
Float,192.1035
Shares Outstanding,192.7
Institutions Holding Shares,643.0
% Held by Institutions,0.974593
FCF Growth 5yr,0.7781582952815831
