,TRU
% Above Low,0.1955
% Held by Institutions,0.9745999999999999
52-Wk Range,['50.32 - 120.36']
Annual Dividend $,0.42
Annual Dividend %,0.0068000000000000005
Ask,107.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,60.05
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,60.16
Day Change $,-1.57
Day Change %,-0.0254
Day High,61.3
Day Low,59.91
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.06
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.405
Last (size),2.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,11.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",58.4
Prev Close,61.73
Short Interest,0.0166
Today's Open,60.93
Volume,878344.0
Volume 10-day Avg,1097696.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.29963898916967513
Growth 1yr High Est,0.2178217821782178
Growth 1yr Consensus Est,0.25873038567394646
Growth 2yr Low Est,-0.0543471720818291
Growth 2yr High Est,0.1509163111433095
Growth 2yr Consensus Est,0.0482845695307402
Growth 5yr Low Est,-0.0034581710211516736
Growth 5yr High Est,0.09503110930830955
Growth 5yr Consensus Est,0.04578646914357894
Growth 5yr Actual/Est,0.07010612284218598
Growth 3yr Historic,0.05548387096774193
Price/Earnings (TTM),58.39837
Price/Sales (TTM),3.44105
Price/Book (MRQ),2.93459
Price/Cash Flow (TTM),17.09351
5yr Low,50.32
5yr High,125.35
5yr Avg Return,0.06830000000000001
EPS Growth 5yr,0.2302956
Revenue Growth 5yr,0.1166689
Dividend Growth 5yr,
Short Int Current Month,3186607.0
Short Int Prev Month,3331661.0
Short Int Pct of Float,0.0165911
Days to Cover,1.68595
Float,192.1035
Shares Outstanding,192.7
Institutions Holding Shares,643.0
FCF Growth 5yr,0.7781582952815831
"Price/Earnings (TTM, GAAP)",58.4
"PEG Ratio (TTM, GAAP)",5.65
Gross Profit Margin (TTM),0.6670999999999999
Operating Profit Margin (TTM),0.1462
Net Profit Margin (TTM),0.0632
Annual Dividend Yield,0.0068000000000000005
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.1696
EPS Growth (MRQ),-0.1945
EPS Growth (TTM),-0.4581
Revenue Growth (MRQ),-0.010700000000000001
Revenue Growth (TTM),0.2883
Return On Equity (TTM),0.0589
Return On Assets (TTM),0.0226
Return On Investment (TTM),0.024900000000000002
Revenue Per Employee (TTM),338912.0
Total Debt/Total Capital (MRQ),0.5866
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.03
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-02-25 00:00:00
theStreet since,2022-03-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
