,STEP
% Above Low,0.3178
% Held by Institutions,0.8183
52-Wk Range,['22.39 - 44.88']
Annual Dividend $,0.8
Annual Dividend %,0.0262
Ask,29.52
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,29.49
Bid Size,100.0
Day Change $,-1.07
Day Change %,-0.0348
Day High,30.53
Day Low,29.5
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.78
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.452
Last (size),100.0
Last (time),3:28p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",39.05
Prev Close,30.57
Price,29.51
Short Interest,0.0206
Today's Open,30.26
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2064516129032259
Growth 1yr High Est,-0.18452380952380942
Growth 1yr Consensus Est,-0.19548771121351766
Growth 2yr Low Est,-0.021924993443482865
Growth 2yr High Est,0.02817605144247476
Growth 2yr Consensus Est,0.0031255289994959468
Growth 5yr Low Est,-0.021924993443482865
Growth 5yr High Est,0.02817605144247476
Growth 5yr Consensus Est,0.0031255289994959468
Growth 5yr Actual/Est,0.28156430442787267
Growth 3yr Historic,0.2835249042145594
Price/Earnings (TTM),39.05162
Price/Sales (TTM),6.07726
Price/Book (MRQ),4.36869
Price/Cash Flow (TTM),17.68965
5yr Low,22.39
5yr High,55.19
5yr Avg Return,0.11726666666666669
EPS Growth 5yr,0.5349195
Revenue Growth 5yr,0.5255434999999999
Dividend Growth 5yr,
Short Int Current Month,1002656.0
Short Int Prev Month,1269278.0
Short Int Pct of Float,0.020587300000000003
Days to Cover,2.69555
Float,48.69584
Shares Outstanding,108.7783
Institutions Holding Shares,177.0
FCF Growth 5yr,0.3198598297216395
"Price/Earnings (TTM, GAAP)",39.05
"PEG Ratio (TTM, GAAP)",4.15
Gross Profit Margin (TTM),0.5475
Operating Profit Margin (TTM),0.2809
Net Profit Margin (TTM),0.2584
Annual Dividend Yield,0.0262
Dividend Change %,5.2857
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6354
EPS Growth (TTM),-0.5559000000000001
Revenue Growth (MRQ),-1.0783
Revenue Growth (TTM),-0.5459
Return On Equity (TTM),0.06910000000000001
Return On Assets (TTM),0.0382
Return On Investment (TTM),0.17010000000000003
Revenue Per Employee (TTM),692633.0
Total Debt/Total Capital (MRQ),0.037000000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-2.39
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-23 00:00:00
theStreet since,2022-08-23 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
