,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,40.98,55.19,42.33,,,,,
low,22.72,28.52,22.39,,,,,
change,0.6081000000000001,0.033100000000000004,-0.28940000000000005,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,136.0,116.0,106.0,144.0,Balance Sheet
"Trade Accts Recvble, Net",,,,33.0,34.0,35.0,34.0,Balance Sheet
Other Receivables,,,,2670.0,2834.0,2549.0,2194.0,Balance Sheet
"Total Receivables, Net",,,,2703.0,2869.0,2584.0,2228.0,Balance Sheet
Total Current Assets,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,63.0,61.0,72.0,63.0,Balance Sheet
"Goodwill, Net",,,,583.0,581.0,581.0,581.0,Balance Sheet
Intangibles - Gross,,,,458.0,458.0,458.0,458.0,Balance Sheet
Accum. Intangible Amort.,,,,-49.0,-60.0,-71.0,-82.0,Balance Sheet
Intangibles - Net,,,,409.0,398.0,387.0,376.0,Balance Sheet
Long Term Investments,,,,99.0,107.0,108.0,107.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,19.0,28.0,32.0,40.0,Balance Sheet
Restricted Cash - LT,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Assets,,,,24.0,27.0,35.0,37.0,Balance Sheet
"Other Assets, Total",,,,24.0,27.0,35.0,37.0,Balance Sheet
Total Assets,,,,4037.0,4188.0,3906.0,3576.0,Balance Sheet
Payable/Accrued,,,,42.0,62.0,55.0,64.0,Balance Sheet
Accrued Expenses,,,,1892.0,2021.0,1828.0,1591.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,204.0,199.0,196.0,196.0,Balance Sheet
Total Current Liabilities,,,,,,,,Balance Sheet
Total Long Term Debt,,,,63.0,63.0,63.0,63.0,Balance Sheet
Total Debt,,,,63.0,63.0,63.0,63.0,Balance Sheet
Minority Interest,,,,1042.0,1007.0,950.0,880.0,Balance Sheet
"Other Liabilities, Total",,,,19.0,19.0,15.0,21.0,Balance Sheet
Total Liabilities,,,,3261.0,3371.0,3106.0,2814.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,578.0,587.0,593.0,596.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,197.0,230.0,206.0,164.0,Balance Sheet
Cum. Trans. Adjustment,,,,0.0,0.0,0.0,0.0,Balance Sheet
