,SASR
% Above Low,0.0501
% Held by Institutions,0.6652
52-Wk Range,['32.33 - 52.04']
Annual Dividend $,1.36
Annual Dividend %,0.039
Ask,34.08
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,33.94
Bid Size,200.0
Day Change $,-0.93
Day Change %,-0.026699999999999998
Day High,34.74
Day Low,33.93
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",3.92
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.295
Last (size),100.0
Last (time),1:36p ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.89
Prev Close,34.88
Price,33.95
Short Interest,0.024900000000000002
Today's Open,34.74
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.2919132149901381
Growth 1yr High Est,-0.2901960784313725
Growth 1yr Consensus Est,-0.2910546467107553
Growth 2yr Low Est,-0.15570591111623894
Growth 2yr High Est,-0.1340483154587802
Growth 2yr Consensus Est,-0.14487711328750957
Growth 5yr Low Est,0.06456190512299512
Growth 5yr High Est,0.07288409915134383
Growth 5yr Consensus Est,0.06872300213716948
Growth 5yr Actual/Est,0.17001812472189387
Growth 3yr Historic,0.23879322512350032
Price/Earnings (TTM),8.89231
Price/Sales (TTM),2.9895
Price/Book (MRQ),1.07255
Price/Cash Flow (TTM),8.17879
5yr Low,18.0
5yr High,52.04
5yr Avg Return,0.006600000000000002
EPS Growth 5yr,0.20044440000000002
Revenue Growth 5yr,0.21429410000000002
Dividend Growth 5yr,0.054864699999999995
Short Int Current Month,1076447.0
Short Int Prev Month,1144392.0
Short Int Pct of Float,0.0249249
Days to Cover,5.78909
Float,43.2415
Shares Outstanding,44.64427
Institutions Holding Shares,266.0
FCF Growth 5yr,0.17001913945014535
"Price/Earnings (TTM, GAAP)",8.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.45439999999999997
Net Profit Margin (TTM),0.3412
Annual Dividend Yield,0.039
Dividend Change %,0.0667
"Dividend Growth Rate, 3 Years",0.0518
EPS Growth (MRQ),-0.3875
EPS Growth (TTM),-0.2433
Revenue Growth (MRQ),0.145
Revenue Growth (TTM),0.0187
Return On Equity (TTM),0.11800000000000001
Return On Assets (TTM),0.013300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.006999999999999999
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-10-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-27 00:00:00
cfra since,
marketEdge opinion since,
