,BMY
% Below High,0.023799999999999998
% Held by Institutions,0.7617
52-Wk Range,['53.22 - 81.17']
Annual Dividend $,2.16
Annual Dividend %,0.0273
Ask,79.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.4
Bid,74.5
Bid Size,100.0
Closing Price,79.24
Day Change $,0.1
Day Change %,0.0013
Day High,79.78
Day Low,79.14
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.20600000000000002
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,168.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.83
Prev Close,79.14
Short Interest,0.0115
Today's Open,79.31
Volume,4734955.0
Volume 10-day Avg,9717290.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.013586956521739024
Growth 1yr High Est,0.019867549668874274
Growth 1yr Consensus Est,0.01672725309530665
Growth 2yr Low Est,-0.00527086490266937
Growth 2yr High Est,0.10928442418508655
Growth 2yr Consensus Est,0.05200677964120859
Growth 5yr Low Est,0.05257074614954319
Growth 5yr High Est,0.12199508724801111
Growth 5yr Consensus Est,0.08728291669877715
Growth 5yr Actual/Est,0.14931925777485633
Growth 3yr Historic,0.13482084917029752
Price/Earnings (TTM),25.83236
Price/Sales (TTM),3.60471
Price/Book (MRQ),5.15153
Price/Cash Flow (TTM),9.89527
5yr Low,42.48
5yr High,81.17
5yr Avg Return,0.057966666666666666
EPS Growth 5yr,0.0326547
Revenue Growth 5yr,0.1901299
Dividend Growth 5yr,0.0521617
Short Int Current Month,24362467.0
Short Int Prev Month,24766439.0
Short Int Pct of Float,0.011467499999999999
Days to Cover,2.34952
Float,2124.713
Shares Outstanding,2126.16
Institutions Holding Shares,3133.0
FCF Growth 5yr,0.13751008982154797
"Price/Earnings (TTM, GAAP)",25.83
"PEG Ratio (TTM, GAAP)",6.24
Gross Profit Margin (TTM),0.7891
Operating Profit Margin (TTM),0.2217
Net Profit Margin (TTM),0.1432
Annual Dividend Yield,0.0273
Dividend Change %,0.0889
"Dividend Growth Rate, 3 Years",0.07
EPS Growth (MRQ),0.1307
EPS Growth (TTM),2.2768
Revenue Growth (MRQ),-0.0563
Revenue Growth (TTM),0.0279
Return On Equity (TTM),0.1911
Return On Assets (TTM),0.064
Return On Investment (TTM),0.07940000000000001
Revenue Per Employee (TTM),1451491.0
Total Debt/Total Capital (MRQ),0.5443
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),8.74
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-11-18 00:00:00
