,BMY
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.013586956521739024
Growth 1yr High Est,0.019867549668874274
Growth 1yr Consensus Est,0.01672725309530665
Growth 2yr Low Est,-0.00527086490266937
Growth 2yr High Est,0.10928442418508655
Growth 2yr Consensus Est,0.05200677964120859
Growth 5yr Low Est,0.05257074614954319
Growth 5yr High Est,0.12199508724801111
Growth 5yr Consensus Est,0.08728291669877715
Growth 5yr Actual/Est,0.14931925777485633
Growth 3yr Historic,0.13482084917029752
