,HRTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),3.47,45.03,Valuation,0.07705973795247613
Price/Book (MRQ),15.18,12.61,Valuation,1.2038065027755749
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.45890000000000003,0.5874,Profitability,0.7812393598910453
Operating Profit Margin (TTM),-2.1144,-4.7459,Profitability,0.4455213974167176
Net Profit Margin (TTM),-2.2055000000000002,-4.5467,Profitability,0.48507708887764756
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.3185,-0.0014000000000000002,Gowth rates,-227.49999999999997
EPS Growth (TTM),0.1282,0.027200000000000002,Gowth rates,4.713235294117647
Revenue Growth (MRQ),-0.0388,1.3963999999999999,Gowth rates,-0.02778573474649098
Revenue Growth (TTM),0.1391,0.9747,Gowth rates,0.1427105776136247
Return On Equity (TTM),-3.0688,0.1967,Effectiveness,-15.601423487544483
Return On Assets (TTM),-0.6945,0.0016,Effectiveness,-434.0625
Return On Investment (TTM),-0.9464,0.0219,Effectiveness,-43.21461187214612
Revenue Per Employee (TTM),325493.0,1476201.0,Effectiveness,0.22049368615791481
Total Debt/Total Capital (MRQ),0.8692000000000001,0.4675,Financial strength,1.8592513368983958
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0036,Financial strength,0.8333333333333334
Quick Ratio (MRQ),1.83,2.06,Financial strength,0.8883495145631068
Interest Coverage (MRQ),,2.69,Financial strength,
