,HRTX
% Above Low,0.3105
% Held by Institutions,1.0246
52-Wk Range,['2.19 - 10.46']
Annual Dividend $,
Annual Dividend %,
Ask,3.0
Ask Size,3000.0
B/A Ratio,0.16666666666666666
B/A Size,500x3000
Beta,0.9
Bid,2.71
Bid Size,500.0
Closing Price,2.87
Day Change $,-0.01
Day Change %,-0.0034999999999999996
Day High,2.94
Day Low,2.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.09
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,341.2M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.88
Short Interest,0.2394
Today's Open,2.89
Volume,616039.0
Volume 10-day Avg,2355843.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.18454935622317603
Growth 1yr High Est,-0.24434389140271495
Growth 1yr Consensus Est,-0.2144466238129455
Growth 2yr Low Est,-0.3291167833747459
Growth 2yr High Est,-0.4006150594738126
Growth 2yr Consensus Est,-0.36486592142427926
Growth 5yr Low Est,-0.17840397992266707
Growth 5yr High Est,-0.20888586884246269
Growth 5yr Consensus Est,-0.19364492438256486
Growth 5yr Actual/Est,-0.20382532557221783
Growth 3yr Historic,-0.025999999999999968
Price/Earnings (TTM),
Price/Sales (TTM),3.47113
Price/Book (MRQ),15.18403
Price/Cash Flow (TTM),
5yr Low,2.19
5yr High,42.9
5yr Avg Return,-0.1552
EPS Growth 5yr,
Revenue Growth 5yr,1.322065
Dividend Growth 5yr,
Short Int Current Month,28397355.0
Short Int Prev Month,28773689.0
Short Int Pct of Float,0.2394054
Days to Cover,10.23252
Float,118.6162
Shares Outstanding,118.8881
Institutions Holding Shares,241.0
FCF Growth 5yr,0.11985521003968254
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.45890000000000003
Operating Profit Margin (TTM),-2.1144
Net Profit Margin (TTM),-2.2055000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3185
EPS Growth (TTM),0.1282
Revenue Growth (MRQ),-0.0388
Revenue Growth (TTM),0.1391
Return On Equity (TTM),-3.0688
Return On Assets (TTM),-0.6945
Return On Investment (TTM),-0.9464
Revenue Per Employee (TTM),325493.0
Total Debt/Total Capital (MRQ),0.8692000000000001
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),1.83
Interest Coverage (MRQ),
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
cfra since,
marketEdge opinion since,
marketEdge since,
newConstructs since,
ford since,
theStreet since,
