,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.79,47.14,69.16,53.14,,,,,
low,25.78,12.91,35.48,30.98,,,,,
change,0.05,-0.0443,0.2564,-0.14070000000000002,,,,,
Date,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,185.0,194.0,145.0,58.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,302.0,289.0,196.0,246.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-12.0,-13.0,-11.0,-12.0,Balance Sheet
"Total Receivables, Net",,,,,293.0,280.0,191.0,241.0,Balance Sheet
Invent. - Finished Goods,,,,,293.0,346.0,445.0,584.0,Balance Sheet
Invent. - Work In Progress,,,,,32.0,40.0,40.0,38.0,Balance Sheet
Invent. - Raw Materials,,,,,37.0,46.0,53.0,56.0,Balance Sheet
Total Inventory,,,,,363.0,433.0,538.0,678.0,Balance Sheet
"Other Curr. Assets, Total",,,,,69.0,78.0,84.0,96.0,Balance Sheet
Total Current Assets,,,,,911.0,985.0,958.0,1073.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,160.0,149.0,146.0,149.0,Balance Sheet
"Goodwill, Net",,,,,212.0,212.0,210.0,209.0,Balance Sheet
Intangibles - Net,,,,,15.0,14.0,14.0,13.0,Balance Sheet
Other Long Term Assets,,,,,161.0,229.0,215.0,208.0,Balance Sheet
Total Assets,,,,,1533.0,1589.0,1543.0,1653.0,Balance Sheet
Accounts Payable,,,,,214.0,267.0,281.0,306.0,Balance Sheet
Accrued Expenses,,,,,239.0,220.0,171.0,186.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,5.0,7.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,0.0,3.0,5.0,8.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,2.0,2.0,3.0,1.0,Balance Sheet
Total Current Liabilities,,,,,456.0,491.0,465.0,507.0,Balance Sheet
Total Long Term Debt,,,,,791.0,789.0,787.0,825.0,Balance Sheet
Total Debt,,,,,792.0,792.0,797.0,839.0,Balance Sheet
Deferred Income Tax,,,,,6.0,,,,Balance Sheet
"Other Liabilities, Total",,,,,132.0,125.0,112.0,113.0,Balance Sheet
Total Liabilities,,,,,1385.0,1405.0,1364.0,1445.0,Balance Sheet
Common Stock,,,,,,,,0.0,Balance Sheet
Additional Paid-In Capital,,,,,218.0,225.0,232.0,238.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,23.0,43.0,39.0,62.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-93.0,-97.0,-110.0,-122.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,-2.0,-2.0,-2.0,-2.0,Balance Sheet
Other Comprehensive Income,,,,,3.0,15.0,20.0,31.0,Balance Sheet
"Other Equity, Total",,,,,-93.0,-84.0,-92.0,-92.0,Balance Sheet
Total Equity,,,,,148.0,184.0,179.0,208.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1533.0,1589.0,1543.0,1653.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,56.0,56.0,55.0,55.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-09-30 00:00:00,Income Statement
