,KTB
% Below High,0.2254
% Held by Institutions,0.9338
52-Wk Range,['30.98 - 57.64']
Annual Dividend $,1.92
Annual Dividend %,0.043
Ask,55.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.2
Bid,36.12
Bid Size,1000.0
Closing Price,44.65
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",4.14
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.498
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,44.65
Short Interest,0.095
Today's Open,
Volume,195740.0
Volume 10-day Avg,445749.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.052757793764987904
Growth 1yr High Est,0.030444964871194635
Growth 1yr Consensus Est,-0.011156414446896634
Growth 2yr Low Est,-0.07194851713565853
Growth 2yr High Est,0.08340430061741544
Growth 2yr Consensus Est,0.005727891740878455
Growth 5yr Low Est,-0.004217501811072499
Growth 5yr High Est,0.06969694197537435
Growth 5yr Consensus Est,0.032739720082150925
Growth 5yr Actual/Est,0.08806113091721274
Growth 3yr Historic,0.0798835608237548
Price/Earnings (TTM),10.78388
Price/Sales (TTM),0.95955
Price/Book (MRQ),11.90055
Price/Cash Flow (TTM),8.98766
5yr Low,12.91
5yr High,69.16
5yr Avg Return,0.030350000000000002
EPS Growth 5yr,-0.09784230000000001
Revenue Growth 5yr,-0.0328841
Dividend Growth 5yr,
Short Int Current Month,5188935.0
Short Int Prev Month,5609207.0
Short Int Pct of Float,0.09497109999999999
Days to Cover,8.20043
Float,54.65963
Shares Outstanding,55.46564
Institutions Holding Shares,379.0
FCF Growth 5yr,-0.5165143478465556
"Price/Earnings (TTM, GAAP)",10.78
"PEG Ratio (TTM, GAAP)",4.31
Gross Profit Margin (TTM),0.43670000000000003
Operating Profit Margin (TTM),0.132
Net Profit Margin (TTM),0.09210000000000002
Annual Dividend Yield,0.043
Dividend Change %,0.2647
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.17370000000000002
EPS Growth (TTM),0.25379999999999997
Revenue Growth (MRQ),-0.0115
Revenue Growth (TTM),0.051
Return On Equity (TTM),1.2106000000000001
Return On Assets (TTM),0.1456
Return On Investment (TTM),0.21100000000000002
Revenue Per Employee (TTM),184352.0
Total Debt/Total Capital (MRQ),0.8013
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),8.73
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-22 00:00:00
theStreet since,2022-05-16 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
