,MAR
% Above Low,0.24059999999999998
% Held by Institutions,0.5951
52-Wk Range,['131.01 - 195.90']
Annual Dividend $,1.6
Annual Dividend %,0.0098
Ask,162.9
Ask Size,100.0
Ask close,173.91
B/A Ratio,7.0
B/A Size,700x100
Beta,1.6
Bid,140.0
Bid Size,700.0
Bid close,153.37
Change Since Close,-1.20| |(-0.74%)
Closing Price,162.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",6.55
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.39
Last (size),88.0
Last (time),1:00p ET 11/25/22
Last Trade,161.33
Market Cap,51.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.8
Prev Close,162.53
Short Interest,0.0181
Today's Open,
Volume,624.0
Volume 10-day Avg,1811244.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.1054421768707483
Growth 1yr High Est,0.11111111111111094
Growth 1yr Consensus Est,0.10827664399092962
Growth 2yr Low Est,0.033490319204604935
Growth 2yr High Est,0.19040404040404046
Growth 2yr Consensus Est,0.1119471798043227
Growth 5yr Low Est,0.016745159602302467
Growth 5yr High Est,0.09520202020202023
Growth 5yr Consensus Est,0.05597358990216135
Growth 5yr Actual/Est,4.24255848009107
Growth 3yr Historic,3.938055555555555
Price/Earnings (TTM),24.80242
Price/Sales (TTM),2.66621
Price/Book (MRQ),49.75283
Price/Cash Flow (TTM),21.10221
5yr Low,46.56
5yr High,195.9
5yr Avg Return,0.06605
EPS Growth 5yr,0.040804299999999995
Revenue Growth 5yr,-0.020983
Dividend Growth 5yr,
Short Int Current Month,4644248.0
Short Int Prev Month,5149766.0
Short Int Pct of Float,0.0181278
Days to Cover,2.02451
Float,256.2755
Shares Outstanding,316.5396
Institutions Holding Shares,1425.0
FCF Growth 5yr,0.6250717318076779
"Price/Earnings (TTM, GAAP)",24.8
"PEG Ratio (TTM, GAAP)",0.57
Gross Profit Margin (TTM),0.21670000000000003
Operating Profit Margin (TTM),0.1607
Net Profit Margin (TTM),0.1116
Annual Dividend Yield,0.0098
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.06
EPS Growth (TTM),3.6351
Revenue Growth (MRQ),-0.0047
Revenue Growth (TTM),0.6659
Return On Equity (TTM),2.1737
Return On Assets (TTM),0.0874
Return On Investment (TTM),0.1192
Revenue Per Employee (TTM),160800.0
Total Debt/Total Capital (MRQ),0.8986000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),10.79
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-09 00:00:00
theStreet since,2022-08-17 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
