,MAR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.8,103.69,Valuation,0.23917446233966633
Price/Sales (TTM),2.67,5.63,Valuation,0.47424511545293074
Price/Book (MRQ),49.75,8.51,Valuation,5.846063454759107
"PEG Ratio (TTM, GAAP)",0.57,0.48,Valuation,1.1875
Gross Profit Margin (TTM),0.21670000000000003,0.4058,Profitability,0.5340068999507147
Operating Profit Margin (TTM),0.1607,0.1648,Profitability,0.975121359223301
Net Profit Margin (TTM),0.1116,0.0801,Profitability,1.3932584269662922
Annual Dividend Yield,0.0098,0.011200000000000002,Dividend,0.8749999999999999
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-0.06,0.3321,Gowth rates,-0.18066847335140018
EPS Growth (TTM),3.6351,2.1422,Gowth rates,1.6969003827840539
Revenue Growth (MRQ),-0.0047,0.38689999999999997,Gowth rates,-0.012147841819591627
Revenue Growth (TTM),0.6659,0.7726000000000001,Gowth rates,0.861894900336526
Return On Equity (TTM),2.1737,0.1915,Effectiveness,11.350913838120105
Return On Assets (TTM),0.0874,0.0764,Effectiveness,1.143979057591623
Return On Investment (TTM),0.1192,0.1012,Effectiveness,1.1778656126482214
Revenue Per Employee (TTM),160800.0,286353.0,Effectiveness,0.5615446668971514
Total Debt/Total Capital (MRQ),0.8986000000000001,1.1601000000000001,Financial strength,0.7745883975519351
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.002,Financial strength,-0.25
Quick Ratio (MRQ),,0.8,Financial strength,
Interest Coverage (MRQ),10.79,40.35,Financial strength,0.26741016109045845
