,LNTH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.25,61.36,Valuation,0.6396675358539765
Price/Sales (TTM),5.02,9.8,Valuation,0.5122448979591836
Price/Book (MRQ),6.3,10.31,Valuation,0.6110572259941803
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5895,0.6196,Profitability,0.9514202711426727
Operating Profit Margin (TTM),0.21530000000000002,0.047,Profitability,4.580851063829788
Net Profit Margin (TTM),0.1336,0.009300000000000001,Profitability,14.36559139784946
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.4165,-0.4858,Gowth rates,-0.8573487031700288
EPS Growth (TTM),3.9131,-0.2029,Gowth rates,-19.285855101034993
Revenue Growth (MRQ),0.0696,0.1161,Gowth rates,0.599483204134367
Revenue Growth (TTM),1.0561,0.18300000000000002,Gowth rates,5.77103825136612
Return On Equity (TTM),0.1882,0.1068,Effectiveness,1.7621722846441947
Return On Assets (TTM),0.1101,0.0622,Effectiveness,1.7700964630225082
Return On Investment (TTM),0.1313,0.0732,Effectiveness,1.7937158469945356
Revenue Per Employee (TTM),1309570.0,403586.0,Effectiveness,3.2448350537431923
Total Debt/Total Capital (MRQ),0.2079,0.3161,Financial strength,0.6577032584625119
Change in Debt/Total Capital Quarter over Quarter,-0.0027,0.0125,Financial strength,-0.216
Quick Ratio (MRQ),1.98,2.25,Financial strength,0.88
Interest Coverage (MRQ),67.67,14.99,Financial strength,4.514342895263509
