,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.0,24.45,29.8,20.67,31.6,87.47,,,,,
low,19.5,12.59,14.57,8.67,13.3,23.51,,,,,
change,-0.1109,-0.2403,0.3318,-0.34740000000000004,1.1384,1.0197,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,99.0,105.0,171.0,257.0,Balance Sheet
"Total Receivables, Net",,,,,,,89.0,172.0,187.0,197.0,Balance Sheet
Invent. - Finished Goods,,,,,,,7.0,7.0,8.0,9.0,Balance Sheet
Invent. - Work In Progress,,,,,,,13.0,13.0,10.0,8.0,Balance Sheet
Invent. - Raw Materials,,,,,,,16.0,14.0,16.0,18.0,Balance Sheet
Total Inventory,,,,,,,35.0,34.0,34.0,35.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,,,,13.0,13.0,12.0,13.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,13.0,13.0,12.0,13.0,Balance Sheet
Total Current Assets,,,,,,,236.0,325.0,404.0,502.0,Balance Sheet
Buildings,,,,,,,74.0,74.0,73.0,72.0,Balance Sheet
Land/Improvements,,,,,,,13.0,13.0,13.0,13.0,Balance Sheet
Machinery/Equipment,,,,,,,108.0,110.0,112.0,114.0,Balance Sheet
Construction in Progress,,,,,,,11.0,12.0,16.0,18.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,9.0,9.0,8.0,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,214.0,218.0,223.0,226.0,Balance Sheet
Accumulated Depreciation,,,,,,,-89.0,-92.0,-95.0,-97.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,126.0,126.0,127.0,129.0,Balance Sheet
"Goodwill, Net",,,,,,,61.0,61.0,61.0,61.0,Balance Sheet
Intangibles - Gross,,,,,,,490.0,490.0,490.0,490.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-141.0,-150.0,-158.0,-166.0,Balance Sheet
Intangibles - Net,,,,,,,349.0,340.0,332.0,324.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,63.0,48.0,55.0,47.0,Balance Sheet
Restricted Cash - LT,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Long Term Assets,,,,,,,28.0,31.0,32.0,32.0,Balance Sheet
Total Assets,,,,,,,864.0,933.0,1014.0,1096.0,Balance Sheet
Accounts Payable,,,,,,,21.0,22.0,21.0,30.0,Balance Sheet
Accrued Expenses,,,,,,,58.0,137.0,174.0,181.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,12.0,13.0,14.0,15.0,Balance Sheet
Discontinued Operations,,,,,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,,,,,,6.0,9.0,9.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,0.0,6.0,9.0,9.0,Balance Sheet
Total Current Liabilities,,,,,,,90.0,178.0,219.0,236.0,Balance Sheet
Long Term Debt,,,,,,,163.0,159.0,156.0,152.0,Balance Sheet
Capital Lease Obligations,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,,,,,163.0,159.0,156.0,152.0,Balance Sheet
Total Debt,,,,,,,175.0,172.0,170.0,167.0,Balance Sheet
Reserves,,,,,,,21.0,22.0,22.0,23.0,Balance Sheet
Other LT Liabilities,,,,,,,125.0,59.0,50.0,46.0,Balance Sheet
"Other Liabilities, Total",,,,,,,146.0,80.0,72.0,70.0,Balance Sheet
Total Liabilities,,,,,,,399.0,417.0,446.0,458.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,685.0,692.0,700.0,708.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-221.0,-178.0,-135.0,-74.0,Balance Sheet
Treasury Stock - Common,,,,,,,0.0,,,,Balance Sheet
Cum. Trans. Adjustment,,,,,,,0.0,3.0,-1.0,4.0,Balance Sheet
Other Comprehensive Income,,,,,,,-1.0,-1.0,3.0,-1.0,Balance Sheet
"Other Equity, Total",,,,,,,0.0,2.0,2.0,3.0,Balance Sheet
Total Equity,,,,,,,464.0,516.0,567.0,638.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,864.0,933.0,1014.0,1096.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,68.0,69.0,69.0,69.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,129562.0,208880.0,223723.0,239292.0,Income Statement
"Cost of Revenue, Total",,,,,,,71654.0,79810.0,85694.0,91859.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,78756.0,53927.0,54631.0,43437.0,Income Statement
Labor & Related Expense,,,,,,,3197.0,4015.0,5459.0,5736.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,81953.0,57942.0,60090.0,49173.0,Income Statement
Research & Development,,,,,,,11293.0,12203.0,14735.0,12517.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,0.0,0.0,0.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,,164900.0,149955.0,160519.0,153549.0,Income Statement
Total Operating Income,,,,,,,-35338.0,58925.0,63204.0,85743.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-1528.0,-1509.0,-1469.0,-1626.0,Income Statement
"Inter Income, Non-Operating",,,,,,,6.0,8.0,39.0,504.0,Income Statement
"Invest Income, Non-Operat",,,,,,,-118.0,81.0,-125.0,-145.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,-112.0,89.0,-86.0,359.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,-4029.0,396.0,396.0,-1460.0,Income Statement
"Other, Net",,,,,,,-4029.0,396.0,396.0,-1460.0,Income Statement
Income Before Tax,,,,,,,-41007.0,57901.0,62045.0,83016.0,Income Statement
Income Tax - Total,,,,,,,-792.0,14939.0,18987.0,21784.0,Income Statement
Income After Tax,,,,,,,-40215.0,42962.0,43058.0,61232.0,Income Statement
Net Inc Before Extra Items,,,,,,,-40215.0,42962.0,43058.0,61232.0,Income Statement
Total Net Income,,,,,,,-40215.0,42962.0,43058.0,61232.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,-40215.0,42962.0,43058.0,61232.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,-40215.0,42962.0,43058.0,61232.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,67717.0,68008.0,68674.0,68756.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.59,0.63,0.63,0.89,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.59,0.63,0.63,0.89,Income Statement
Diluted Weighted Average Shares,,,,,,,67717.0,70051.0,70796.0,71075.0,Income Statement
