,AON,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.84,19.61,Valuation,1.215706272310046
Price/Sales (TTM),5.11,2.33,Valuation,2.1931330472103006
Price/Book (MRQ),,3.82,Valuation,
"PEG Ratio (TTM, GAAP)",2.19,37.63,Valuation,0.05819824608025511
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.3072,0.1298,Profitability,2.3667180277349766
Net Profit Margin (TTM),0.2295,0.10460000000000001,Profitability,2.194072657743786
Annual Dividend Yield,0.0073,0.0168,Dividend,0.43452380952380953
Dividend Change %,0.11800000000000001,-0.0075,Dividend,-15.733333333333334
"Dividend Growth Rate, 3 Years",0.08449999999999999,0.0225,Dividend,3.7555555555555555
EPS Growth (MRQ),-0.1776,-0.0779,Gowth rates,2.2798459563543005
EPS Growth (TTM),2.2662,-0.005200000000000001,Gowth rates,-435.80769230769226
Revenue Growth (MRQ),-0.0962,0.0897,Gowth rates,-1.072463768115942
Revenue Growth (TTM),0.0291,0.042800000000000005,Gowth rates,0.6799065420560747
Return On Equity (TTM),3.9201,0.3775,Effectiveness,10.384370860927152
Return On Assets (TTM),0.09050000000000001,0.031200000000000002,Effectiveness,2.900641025641026
Return On Investment (TTM),0.21420000000000003,0.035,Effectiveness,6.12
Revenue Per Employee (TTM),248580.0,1261907.0,Effectiveness,0.196987575154112
Total Debt/Total Capital (MRQ),1.066,0.4026,Financial strength,2.6477893691008445
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.002,Financial strength,1.5499999999999998
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),6.15,10.79,Financial strength,0.5699721964782206
