,AON
% Below High,0.10210000000000001
% Held by Institutions,0.8767
52-Wk Range,['246.21 - 341.98']
Annual Dividend $,2.24
Annual Dividend %,0.0073
Ask,320.0
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.9
Bid,306.4
Bid Size,500.0
Closing Price,307.08
Day Change $,2.84
Day Change %,0.009300000000000001
Day High,308.14
Day Low,302.57
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",12.88
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.281
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,63.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.84
Prev Close,304.24
Short Interest,0.0086
Today's Open,304.83
Volume,262996.0
Volume 10-day Avg,663872.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.13771929824561413
Growth 1yr High Est,0.11858704793944486
Growth 1yr Consensus Est,0.1281531730925295
Growth 2yr Low Est,0.11550575552219022
Growth 2yr High Est,0.13072209539829382
Growth 2yr Consensus Est,0.12311392546024202
Growth 5yr Low Est,0.12034734355484134
Growth 5yr High Est,0.13654863544125923
Growth 5yr Consensus Est,0.12844798949805028
Growth 5yr Actual/Est,0.12307596936801724
Growth 3yr Historic,0.07325859820782432
Price/Earnings (TTM),23.8423
Price/Sales (TTM),5.11066
Price/Book (MRQ),
Price/Cash Flow (TTM),20.28758
5yr Low,130.87
5yr High,341.98
5yr Avg Return,0.15996666666666667
EPS Growth 5yr,0.0424066
Revenue Growth 5yr,0.0532062
Dividend Growth 5yr,0.0905678
Short Int Current Month,1638914.0
Short Int Prev Month,1649901.0
Short Int Pct of Float,0.0086486
Days to Cover,2.3703
Float,189.5291
Shares Outstanding,206.8529
Institutions Holding Shares,1315.0
FCF Growth 5yr,0.5201709940629292
"Price/Earnings (TTM, GAAP)",23.84
"PEG Ratio (TTM, GAAP)",2.19
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3072
Net Profit Margin (TTM),0.2295
Annual Dividend Yield,0.0073
Dividend Change %,0.11800000000000001
"Dividend Growth Rate, 3 Years",0.08449999999999999
EPS Growth (MRQ),-0.1776
EPS Growth (TTM),2.2662
Revenue Growth (MRQ),-0.0962
Revenue Growth (TTM),0.0291
Return On Equity (TTM),3.9201
Return On Assets (TTM),0.09050000000000001
Return On Investment (TTM),0.21420000000000003
Revenue Per Employee (TTM),248580.0
Total Debt/Total Capital (MRQ),1.066
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.15
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2021-10-29 00:00:00
ford since,2022-05-20 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-01 00:00:00
