,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,4.5,6.32,8.39,8.57,12.22,15.8,,,,,
low,3.8,2.9,4.51,4.44,6.69,8.25,,,,,
change,-0.0345,0.12380000000000001,0.6847,-0.0526,0.5828,0.2625,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-04-01 00:00:00,2022-07-01 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,133.0,101.0,122.0,105.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,91.0,119.0,109.0,108.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,-4.0,-3.0,-3.0,Balance Sheet
"Total Receivables, Net",,,,,,,97.0,120.0,111.0,111.0,Balance Sheet
Invent. - Finished Goods,,,,,,,38.0,43.0,44.0,54.0,Balance Sheet
Invent. - Work In Progress,,,,,,,4.0,5.0,4.0,3.0,Balance Sheet
Invent. - Raw Materials,,,,,,,22.0,26.0,28.0,35.0,Balance Sheet
Inventories - Other,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Total Inventory,,,,,,,71.0,82.0,83.0,99.0,Balance Sheet
Prepaid Expenses,,,,,,,22.0,23.0,23.0,21.0,Balance Sheet
Total Current Assets,,,,,,,323.0,325.0,338.0,337.0,Balance Sheet
Buildings,,,,,,,41.0,41.0,40.0,40.0,Balance Sheet
Machinery/Equipment,,,,,,,117.0,118.0,118.0,119.0,Balance Sheet
Construction in Progress,,,,,,,2.0,3.0,3.0,3.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,34.0,33.0,30.0,28.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,193.0,194.0,192.0,190.0,Balance Sheet
Accumulated Depreciation,,,,,,,-119.0,-122.0,-123.0,-125.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,74.0,72.0,69.0,66.0,Balance Sheet
"Goodwill, Net",,,,,,,240.0,240.0,237.0,234.0,Balance Sheet
Other Long Term Assets,,,,,,,40.0,63.0,54.0,62.0,Balance Sheet
Total Assets,,,,,,,694.0,700.0,698.0,698.0,Balance Sheet
Accounts Payable,,,,,,,64.0,53.0,39.0,61.0,Balance Sheet
Accrued Expenses,,,,,,,34.0,27.0,28.0,28.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
