,HLIT
% Below High,0.056299999999999996
% Held by Institutions,0.9688
52-Wk Range,['8.25 - 15.80']
Annual Dividend $,
Annual Dividend %,
Ask,14.9
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,0.8
Bid,14.8
Bid Size,800.0
Closing Price,14.91
Day Change $,0.15
Day Change %,0.0102
Day High,14.99
Day Low,14.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",41.18
Prev Close,14.76
Short Interest,0.0898
Today's Open,14.76
Volume,549659.0
Volume 10-day Avg,1447913.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3999999999999999
Growth 2yr High Est,0.509433962264151
Growth 2yr Consensus Est,0.4547169811320755
Growth 5yr Low Est,0.3999999999999999
Growth 5yr High Est,0.509433962264151
Growth 5yr Consensus Est,0.4547169811320755
Growth 5yr Actual/Est,1.010741219564749
Growth 3yr Historic,0.7726190476190475
Price/Earnings (TTM),41.17647
Price/Sales (TTM),2.55027
Price/Book (MRQ),5.2286
Price/Cash Flow (TTM),28.95986
5yr Low,2.9
5yr High,15.8
5yr Avg Return,0.26111666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0455407
Dividend Growth 5yr,
Short Int Current Month,9206295.0
Short Int Prev Month,10508793.0
Short Int Pct of Float,0.0898061
Days to Cover,4.15113
Float,102.5259
Shares Outstanding,105.4364
Institutions Holding Shares,270.0
FCF Growth 5yr,-0.5961999918736067
"Price/Earnings (TTM, GAAP)",41.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5004
Operating Profit Margin (TTM),0.0717
Net Profit Margin (TTM),0.068
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4329
EPS Growth (TTM),4.1296
Revenue Growth (MRQ),-0.0108
Revenue Growth (TTM),0.2766
Return On Equity (TTM),0.1459
Return On Assets (TTM),0.0625
Return On Investment (TTM),0.09150000000000001
Revenue Per Employee (TTM),486525.0
Total Debt/Total Capital (MRQ),0.3556
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),9.15
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-02 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
