,LMT
% Below High,0.0226
% Held by Institutions,0.7290000000000001
52-Wk Range,['328.20 - 494.66']
Annual Dividend $,12.0
Annual Dividend %,0.0248
Ask,495.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,470.0
Bid Size,100.0
Change Since Close,-0.01| |(0.00%)
Closing Price,483.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",21.78
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.262
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,483.45
Market Cap,126.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.2
Prev Close,483.46
Short Interest,0.013500000000000002
Today's Open,
Volume,25.0
Volume 10-day Avg,1701805.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.023593466424682408
Growth 1yr High Est,-0.03282275711159732
Growth 1yr Consensus Est,-0.028208111768139865
Growth 2yr Low Est,0.08462519987316075
Growth 2yr High Est,0.128385001534699
Growth 2yr Consensus Est,0.10650510070392988
Growth 5yr Low Est,0.05087134515017494
Growth 5yr High Est,0.07811548044505495
Growth 5yr Consensus Est,0.06449341279761495
Growth 5yr Actual/Est,0.061965226321080896
Growth 3yr Historic,0.01144345737316299
Price/Earnings (TTM),22.19899
Price/Sales (TTM),1.95764
Price/Book (MRQ),10.58852
Price/Cash Flow (TTM),17.59998
5yr Low,241.18
5yr High,494.66
5yr Avg Return,0.09885
EPS Growth 5yr,0.1351432
Revenue Growth 5yr,0.07230450000000001
Dividend Growth 5yr,0.09381389999999999
Short Int Current Month,3528893.0
Short Int Prev Month,2725526.0
Short Int Pct of Float,0.013475999999999998
Days to Cover,2.03962
Float,261.8643
Shares Outstanding,262.074
Institutions Holding Shares,2487.0
FCF Growth 5yr,0.43511762647361724
"Price/Earnings (TTM, GAAP)",22.2
"PEG Ratio (TTM, GAAP)",2.83
Gross Profit Margin (TTM),0.12990000000000002
Operating Profit Margin (TTM),0.131
Net Profit Margin (TTM),0.0907
Annual Dividend Yield,0.0248
Dividend Change %,0.0816
"Dividend Growth Rate, 3 Years",0.0893
EPS Growth (MRQ),4.7887
EPS Growth (TTM),0.0048
Revenue Growth (MRQ),0.0736
Revenue Growth (TTM),-0.0245
Return On Equity (TTM),0.5435
Return On Assets (TTM),0.113
Return On Investment (TTM),0.16190000000000002
Revenue Per Employee (TTM),567737.0
Total Debt/Total Capital (MRQ),0.48960000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),12.63
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2018-04-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-19 00:00:00
ford since,2022-07-01 00:00:00
marketEdge opinion since,
