,JBHT
% Above Low,0.1863
% Held by Institutions,0.7623000000000001
52-Wk Range,['153.92 - 218.18']
Annual Dividend $,1.6
Annual Dividend %,0.0088
Ask,183.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,181.95
Bid Size,100.0
Closing Price,182.6
Day Change $,2.24
Day Change %,0.0124
Day High,182.71
Day Low,178.92
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",9.56
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.34
Last (size),50.0
Last (time),1:00p ET 11/25/22
Market Cap,18.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.1
Prev Close,180.36
Short Interest,0.0395
Today's Open,181.4
Volume,254775.0
Volume 10-day Avg,773619.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.5568181818181817
Growth 1yr High Est,0.42877697841726614
Growth 1yr Consensus Est,0.4927975801177239
Growth 2yr Low Est,0.21375841311972688
Growth 2yr High Est,0.25618103704347694
Growth 2yr Consensus Est,0.2349697250816019
Growth 5yr Low Est,0.16264585927085842
Growth 5yr High Est,0.21174141985920697
Growth 5yr Consensus Est,0.1871936395650327
Growth 5yr Actual/Est,0.19186524316765857
Growth 3yr Historic,0.10402949537160763
Price/Earnings (TTM),19.09529
Price/Sales (TTM),1.28951
Price/Book (MRQ),5.39382
Price/Cash Flow (TTM),11.63853
5yr Low,75.29
5yr High,218.18
5yr Avg Return,0.11895000000000001
EPS Growth 5yr,0.1336708
Revenue Growth 5yr,0.1316845
Dividend Growth 5yr,0.0604248
Short Int Current Month,3229855.0
Short Int Prev Month,3574194.0
Short Int Pct of Float,0.0394913
Days to Cover,4.59466
Float,81.90439
Shares Outstanding,103.5374
Institutions Holding Shares,834.0
FCF Growth 5yr,-2.5539652873412466
"Price/Earnings (TTM, GAAP)",19.1
"PEG Ratio (TTM, GAAP)",1.31
Gross Profit Margin (TTM),0.17350000000000002
Operating Profit Margin (TTM),0.0936
Net Profit Margin (TTM),0.0689
Annual Dividend Yield,0.0088
Dividend Change %,0.0926
"Dividend Growth Rate, 3 Years",0.0712
EPS Growth (MRQ),0.0596
EPS Growth (TTM),0.5168
Revenue Growth (MRQ),0.0002
Revenue Growth (TTM),0.2851
Return On Equity (TTM),0.3144
Return On Assets (TTM),0.1449
Return On Investment (TTM),0.18710000000000002
Revenue Per Employee (TTM),443678.0
Total Debt/Total Capital (MRQ),0.2619
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),26.71
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-05-11 00:00:00
researchTeam since,2022-07-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-20 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
