,JBHT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.1,29.96,Valuation,0.6375166889185581
Price/Sales (TTM),1.29,3.76,Valuation,0.34308510638297873
Price/Book (MRQ),5.39,7.0,Valuation,0.7699999999999999
"PEG Ratio (TTM, GAAP)",1.31,3.13,Valuation,0.41853035143769973
Gross Profit Margin (TTM),0.17350000000000002,0.5844,Profitability,0.2968856947296373
Operating Profit Margin (TTM),0.0936,0.2133,Profitability,0.4388185654008439
Net Profit Margin (TTM),0.0689,0.1038,Profitability,0.6637764932562621
Annual Dividend Yield,0.0088,0.013000000000000001,Dividend,0.6769230769230768
Dividend Change %,0.0926,0.09210000000000002,Dividend,1.0054288816503798
"Dividend Growth Rate, 3 Years",0.0712,0.09480000000000001,Dividend,0.751054852320675
EPS Growth (MRQ),0.0596,0.3065,Gowth rates,0.19445350734094616
EPS Growth (TTM),0.5168,0.0956,Gowth rates,5.405857740585774
Revenue Growth (MRQ),0.0002,0.2373,Gowth rates,0.0008428150021070375
Revenue Growth (TTM),0.2851,0.2979,Gowth rates,0.9570325612621686
Return On Equity (TTM),0.3144,0.1677,Effectiveness,1.8747763864042937
Return On Assets (TTM),0.1449,0.065,Effectiveness,2.229230769230769
Return On Investment (TTM),0.18710000000000002,0.06480000000000001,Effectiveness,2.8873456790123453
Revenue Per Employee (TTM),443678.0,723294.0,Effectiveness,0.6134130796052504
Total Debt/Total Capital (MRQ),0.2619,0.5356000000000001,Financial strength,0.48898431665421954
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0005,Financial strength,-3.2
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),26.71,13.38,Financial strength,1.9962630792227205
