,WBS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.77,11.43,Valuation,1.3797025371828522
Price/Sales (TTM),4.47,3.3,Valuation,1.3545454545454545
Price/Book (MRQ),1.24,1.46,Valuation,0.8493150684931507
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3003,0.34240000000000004,Profitability,0.8770443925233644
Net Profit Margin (TTM),0.2446,0.2812,Profitability,0.8698435277382646
Annual Dividend Yield,0.029900000000000003,0.028700000000000003,Dividend,1.0418118466898953
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0858,0.0734,Dividend,1.1689373297002723
EPS Growth (MRQ),0.3044,-0.0335,Gowth rates,-9.086567164179105
EPS Growth (TTM),-0.11970000000000001,-0.09960000000000001,Gowth rates,1.2018072289156627
Revenue Growth (MRQ),0.2021,0.5429,Gowth rates,0.3722600847301529
Revenue Growth (TTM),0.8848,0.2466,Gowth rates,3.5879967558799675
Return On Equity (TTM),0.092,0.1135,Effectiveness,0.8105726872246696
Return On Assets (TTM),0.0098,0.0099,Effectiveness,0.9898989898989898
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0009,Financial strength,-0.22222222222222224
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
