,WBS
% Above Low,0.2949
% Held by Institutions,0.8675
52-Wk Range,['40.72 - 65.00']
Annual Dividend $,1.6
Annual Dividend %,0.029900000000000003
Ask,53.23
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,52.73
Day Change $,-0.86
Day Change %,-0.016
Day High,53.36
Day Low,52.64
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",3.4
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.36
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,9.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.77
Prev Close,53.59
Short Interest,0.023700000000000002
Today's Open,53.1
Volume,635464.0
Volume 10-day Avg,658021.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.22368421052631593
Growth 1yr High Est,0.2200854700854702
Growth 1yr Consensus Est,0.22188484030589306
Growth 2yr Low Est,0.09123278626674214
Growth 2yr High Est,0.227380738545362
Growth 2yr Consensus Est,0.15930676240605207
Growth 5yr Low Est,0.19315882594808098
Growth 5yr High Est,0.22720083687659293
Growth 5yr Consensus Est,0.21017983141233695
Growth 5yr Actual/Est,0.2483693453934206
Growth 3yr Historic,0.1606618803060476
Price/Earnings (TTM),15.76979
Price/Sales (TTM),4.46728
Price/Book (MRQ),1.23712
Price/Cash Flow (TTM),16.41494
5yr Low,18.16
5yr High,69.63
5yr Avg Return,0.007966666666666665
EPS Growth 5yr,0.1539382
Revenue Growth 5yr,0.0278336
Dividend Growth 5yr,0.1030083
Short Int Current Month,4079695.0
Short Int Prev Month,4919182.0
Short Int Pct of Float,0.023724
Days to Cover,4.84777
Float,172.1538
Shares Outstanding,174.0094
Institutions Holding Shares,581.0
FCF Growth 5yr,0.6547786231609761
"Price/Earnings (TTM, GAAP)",15.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3003
Net Profit Margin (TTM),0.2446
Annual Dividend Yield,0.029900000000000003
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0858
EPS Growth (MRQ),0.3044
EPS Growth (TTM),-0.11970000000000001
Revenue Growth (MRQ),0.2021
Revenue Growth (TTM),0.8848
Return On Equity (TTM),0.092
Return On Assets (TTM),0.0098
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-20 00:00:00
theStreet since,2022-09-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-20 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
