,WBS
Price/Earnings (TTM),15.76979
Price/Sales (TTM),4.46728
Price/Book (MRQ),1.23712
Price/Cash Flow (TTM),16.41494
5yr Low,18.16
5yr High,69.63
5yr Avg Return,0.007966666666666665
EPS Growth 5yr,0.1539382
Revenue Growth 5yr,0.0278336
Dividend Growth 5yr,0.1030083
Short Int Current Month,4079695.0
Short Int Prev Month,4919182.0
Short Int Pct of Float,0.023724
Days to Cover,4.84777
Float,172.1538
Shares Outstanding,174.0094
Institutions Holding Shares,581.0
% Held by Institutions,0.8675459999999999
FCF Growth 5yr,0.6547786231609761
