,VVV
% Below High,0.15
% Held by Institutions,0.9289000000000001
52-Wk Range,['24.40 - 37.97']
Annual Dividend $,0.5
Annual Dividend %,0.0152
Ask,34.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,24.5
Bid Size,200.0
Closing Price,32.27
Day Change $,-0.53
Day Change %,-0.016200000000000003
Day High,32.92
Day Low,31.96
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.61
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.341
Last (size),26.0
Last (time),7:00p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.09
Prev Close,32.8
Short Interest,0.0172
Today's Open,32.36
Volume,2244250.0
Volume 10-day Avg,1890649.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.43243243243243246
Growth 1yr High Est,-0.4312796208530806
Growth 1yr Consensus Est,-0.4318560266427565
Growth 2yr Low Est,-0.0019305019305019266
Growth 2yr High Est,-0.00730647709320692
Growth 2yr Consensus Est,-0.004618489511854423
Growth 5yr Low Est,-0.010058931111562641
Growth 5yr High Est,0.022479442621622714
Growth 5yr Consensus Est,0.006210255755030036
Growth 5yr Actual/Est,0.09486937824201977
Growth 3yr Historic,0.10118676368676371
Price/Earnings (TTM),54.08703
Price/Sales (TTM),4.63356
Price/Book (MRQ),18.83914
Price/Cash Flow (TTM),31.6789
5yr Low,9.06
5yr High,37.97
5yr Avg Return,0.07890000000000001
EPS Growth 5yr,-0.1645755
Revenue Growth 5yr,-0.09919420000000001
Dividend Growth 5yr,0.2059874
Short Int Current Month,2990574.0
Short Int Prev Month,2466234.0
Short Int Pct of Float,0.0172015
Days to Cover,1.48167
Float,174.0042
Shares Outstanding,174.6203
Institutions Holding Shares,446.0
FCF Growth 5yr,-2.629196263291575
"Price/Earnings (TTM, GAAP)",54.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3854
Operating Profit Margin (TTM),0.1709
Net Profit Margin (TTM),0.0885
Annual Dividend Yield,0.0152
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0565
EPS Growth (MRQ),-2.5802
EPS Growth (TTM),-0.4439
Revenue Growth (MRQ),-2.5307
Revenue Growth (TTM),0.1918
Return On Equity (TTM),0.49600000000000005
Return On Assets (TTM),0.033100000000000004
Return On Investment (TTM),0.042699999999999995
Revenue Per Employee (TTM),138888.0
Total Debt/Total Capital (MRQ),0.8595999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),1.73
Interest Coverage (MRQ),-8.22
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-03 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-05 00:00:00
