,ST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.96,35.65,Valuation,0.6440392706872371
Price/Sales (TTM),1.75,12.92,Valuation,0.13544891640866874
Price/Book (MRQ),2.26,9.0,Valuation,0.25111111111111106
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.32689999999999997,0.2968,Profitability,1.1014150943396226
Operating Profit Margin (TTM),0.16760000000000003,-0.5081,Profitability,-0.3298563274945877
Net Profit Margin (TTM),0.0784,-0.706,Profitability,-0.11104815864022663
Annual Dividend Yield,0.0097,0.0123,Dividend,0.7886178861788617
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),3.0787,0.5871000000000001,Gowth rates,5.2439107477431435
EPS Growth (TTM),-0.15990000000000001,-1.2397,Gowth rates,0.12898281842381223
Revenue Growth (MRQ),-0.0022,0.28940000000000005,Gowth rates,-0.007601935038009674
Revenue Growth (TTM),0.041299999999999996,0.22710000000000002,Gowth rates,0.18185821224130336
Return On Equity (TTM),0.1018,0.10210000000000001,Effectiveness,0.9970617042115573
Return On Assets (TTM),0.036000000000000004,0.0479,Effectiveness,0.7515657620041755
Return On Investment (TTM),0.04,0.0575,Effectiveness,0.6956521739130435
Revenue Per Employee (TTM),185408.0,348568.0,Effectiveness,0.5319134286566753
Total Debt/Total Capital (MRQ),0.5801,0.3799,Financial strength,1.5269807844169516
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0017000000000000001,Financial strength,-0.1764705882352941
Quick Ratio (MRQ),2.23,1.37,Financial strength,1.6277372262773722
Interest Coverage (MRQ),1.04,9.61,Financial strength,0.10822060353798128
