,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,53.3,57.4,54.72,54.37,64.8,65.58,,,,,
low,47.3,40.78,42.5,18.25,51.64,36.64,,,,,
change,0.0212,-0.12810000000000002,0.2202,-0.027999999999999997,0.16570000000000001,-0.3089,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,1709.0,1608.0,1559.0,1104.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,670.0,722.0,769.0,757.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-17.0,-28.0,-26.0,-34.0,Balance Sheet
"Total Receivables, Net",,,,,,,653.0,694.0,743.0,723.0,Balance Sheet
Invent. - Finished Goods,,,,,,,201.0,222.0,224.0,224.0,Balance Sheet
Invent. - Work In Progress,,,,,,,102.0,114.0,114.0,112.0,Balance Sheet
Invent. - Raw Materials,,,,,,,285.0,305.0,319.0,340.0,Balance Sheet
Total Inventory,,,,,,,588.0,642.0,657.0,676.0,Balance Sheet
Prepaid Expenses,,,,,,,126.0,146.0,161.0,197.0,Balance Sheet
Total Current Assets,,,,,,,3077.0,3090.0,3120.0,2700.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,821.0,823.0,826.0,832.0,Balance Sheet
"Goodwill, Net",,,,,,,3502.0,3555.0,3534.0,3847.0,Balance Sheet
Intangibles - Gross,,,,,,,3239.0,3222.0,3256.0,3464.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-2292.0,-2315.0,-2352.0,-2361.0,Balance Sheet
Intangibles - Net,,,,,,,947.0,907.0,905.0,1103.0,Balance Sheet
Other Long Term Assets,,,,,,,162.0,132.0,120.0,130.0,Balance Sheet
Total Assets,,,,,,,8614.0,8611.0,8607.0,8713.0,Balance Sheet
Accounts Payable,,,,,,,459.0,486.0,537.0,501.0,Balance Sheet
Accrued Expenses,,,,,,,344.0,328.0,328.0,355.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,27.0,19.0,15.0,43.0,Balance Sheet
Total Current Liabilities,,,,,,,836.0,840.0,887.0,906.0,Balance Sheet
Long Term Debt,,,,,,,4215.0,4216.0,4214.0,4209.0,Balance Sheet
Capital Lease Obligations,,,,,,,27.0,26.0,26.0,25.0,Balance Sheet
Total Long Term Debt,,,,,,,4242.0,4242.0,4239.0,4234.0,Balance Sheet
Total Debt,,,,,,,4248.0,4249.0,4246.0,4240.0,Balance Sheet
Deferred Income Tax,,,,,,,339.0,339.0,341.0,392.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,39.0,39.0,38.0,35.0,Balance Sheet
Other LT Liabilities,,,,,,,63.0,79.0,78.0,76.0,Balance Sheet
"Other Liabilities, Total",,,,,,,102.0,118.0,115.0,111.0,Balance Sheet
Total Liabilities,,,,,,,5519.0,5539.0,5583.0,5643.0,Balance Sheet
Common Stock,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1812.0,1831.0,1842.0,1852.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,2132.0,2155.0,2165.0,2288.0,Balance Sheet
Treasury Stock - Common,,,,,,,-832.0,-900.0,-979.0,-1077.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-36.0,-36.0,-36.0,-35.0,Balance Sheet
Other Comprehensive Income,,,,,,,17.0,20.0,29.0,39.0,Balance Sheet
"Other Equity, Total",,,,,,,-20.0,-16.0,-7.0,4.0,Balance Sheet
Total Equity,,,,,,,3095.0,3072.0,3024.0,3069.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,8614.0,8611.0,8607.0,8713.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,158.0,157.0,156.0,153.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,16.0,18.0,19.0,22.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,935.0,976.0,1021.0,1018.0,Income Statement
"Cost of Revenue, Total",,,,,,,620.0,657.0,687.0,695.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,87.0,96.0,97.0,90.0,Income Statement
Research & Development,,,,,,,40.0,46.0,48.0,48.0,Income Statement
Depreciation/Amortization,,,,,,,33.0,37.0,37.0,40.0,Income Statement
Restructuring Charge,,,,,,,5.0,14.0,13.0,-107.0,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,0.0,0.0,5.0,Income Statement
Unusual Expense (Income),,,,,,,5.0,14.0,13.0,-102.0,Income Statement
Total Operating Expense,,,,,,,785.0,850.0,882.0,771.0,Income Statement
Total Operating Income,,,,,,,150.0,126.0,139.0,247.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-45.0,-45.0,-45.0,-45.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,4.0,-51.0,-41.0,-13.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,4.0,1.0,2.0,-3.0,Income Statement
"Other, Net",,,,,,,4.0,1.0,2.0,-3.0,Income Statement
Income Before Tax,,,,,,,113.0,30.0,55.0,187.0,Income Statement
Income Tax - Total,,,,,,,1.0,8.0,20.0,46.0,Income Statement
Income After Tax,,,,,,,112.0,22.0,35.0,140.0,Income Statement
Net Inc Before Extra Items,,,,,,,112.0,22.0,35.0,140.0,Income Statement
Total Net Income,,,,,,,112.0,22.0,35.0,140.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,112.0,22.0,35.0,140.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,112.0,22.0,35.0,140.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,158.0,157.0,156.0,154.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.71,0.14,0.22,0.91,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.71,0.14,0.22,0.91,Income Statement
Diluted Weighted Average Shares,,,,,,,159.0,159.0,157.0,155.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.7,0.14,0.22,0.91,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.7,0.14,0.22,0.91,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.11,0.11,Income Statement
Gross Divid - Common Stock,,,,,,,,0.0,17.0,17.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,45.0,45.0,45.0,45.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,31.0,32.0,31.0,32.0,Income Statement
Total Special Items,,,,,,,15.0,93.0,46.0,-187.0,Income Statement
Normalzd Income Before Tax,,,,,,,128.0,123.0,101.0,0.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,23.0,17.0,-65.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,1.0,31.0,37.0,-19.0,Income Statement
Normalized Income After Tax,,,,,,,127.0,92.0,64.0,19.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,127.0,92.0,64.0,19.0,Income Statement
Basic Normalized EPS,,,,,,,0.8,0.58,0.41,0.12,Income Statement
Diluted Normalized EPS,,,,,,,0.8,0.58,0.41,0.12,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,364.0,22.0,57.0,198.0,Cash Flow
Depreciation/Depletion,,,,,,,125.0,32.0,63.0,95.0,Cash Flow
Amortization,,,,,,,134.0,37.0,74.0,114.0,Cash Flow
Deferred Taxes,,,,,,,-5.0,0.0,-5.0,3.0,Cash Flow
Unusual Items,,,,,,,44.0,59.0,92.0,-14.0,Cash Flow
Other Non-Cash Items,,,,,,,17.0,1.0,4.0,6.0,Cash Flow
Non-Cash Items,,,,,,,61.0,60.0,96.0,-8.0,Cash Flow
Accounts Receivable,,,,,,,-48.0,-50.0,-103.0,-89.0,Cash Flow
Inventories,,,,,,,-120.0,-53.0,-69.0,-77.0,Cash Flow
Prepaid Expenses,,,,,,,7.0,-9.0,-18.0,-24.0,Cash Flow
Payable/Accrued,,,,,,,35.0,13.0,57.0,11.0,Cash Flow
Changes in Working Capital,,,,,,,-124.0,-103.0,-143.0,-166.0,Cash Flow
Total Cash from Operations,,,,,,,554.0,47.0,142.0,236.0,Cash Flow
Capital Expenditures,,,,,,,-144.0,-36.0,-74.0,-110.0,Cash Flow
Acquisition of Business,,,,,,,-736.0,-48.0,-49.0,-633.0,Cash Flow
Sale of Business,,,,,,,,,,199.0,Cash Flow
Purchase of Investments,,,,,,,-6.0,-7.0,-7.0,-8.0,Cash Flow
Other Investing Cash Flow,,,,,,,4.0,0.0,0.0,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-738.0,-55.0,-56.0,-441.0,Cash Flow
Total Cash from Investing,,,,,,,-882.0,-91.0,-130.0,-552.0,Cash Flow
Financing Cash Flow Items,,,,,,,-42.0,0.0,-10.0,-21.0,Cash Flow
Total Cash Dividends Paid,,,,,,,,,-17.0,-34.0,Cash Flow
"Common Stock, Net",,,,,,,-48.0,-67.0,-144.0,-242.0,Cash Flow
Options Exercised,,,,,,,26.0,13.0,15.0,16.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-22.0,-54.0,-130.0,-225.0,Cash Flow
Long Term Debt Issued,,,,,,,1002.0,0.0,0.0,500.0,Cash Flow
Long Term Debt Reduction,,,,,,,-763.0,-3.0,-6.0,-508.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,239.0,-3.0,-6.0,-8.0,Cash Flow
Total Cash From Financing,,,,,,,175.0,-57.0,-162.0,-289.0,Cash Flow
Net Change in Cash,,,,,,,-153.0,-100.0,-150.0,-605.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,1862.0,1709.0,1709.0,1709.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,1709.0,1608.0,1559.0,1104.0,Cash Flow
"Depreciation, Supplemental",,,,,,,125.0,32.0,63.0,95.0,Cash Flow
Free Cash Flow,,,,,,,410.0,11.0,68.0,126.0,
FCF Growth,,,,,,,,-0.973170731707317,5.181818181818182,0.8529411764705883,
