,ST
% Above Low,0.1796
% Held by Institutions,1.0064
52-Wk Range,['36.64 - 65.58']
Annual Dividend $,0.44
Annual Dividend %,0.0097
Ask,43.22
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.3
Bid,43.2
Bid Size,500.0
Day Change $,-2.04
Day Change %,-0.0451
Day High,44.95
Day Low,43.1
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.37
Last (size),100.0
Last (time),3:23p ET 11/28/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.96
Prev Close,45.26
Price,43.22
Short Interest,0.0311
Today's Open,44.63
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.014925373134328401
Growth 1yr High Est,-0.053824362606232246
Growth 1yr Consensus Est,-0.03437486787028032
Growth 2yr Low Est,0.00011307100859336838
Growth 2yr High Est,0.06440518396634498
Growth 2yr Consensus Est,0.032259127487469175
Growth 5yr Low Est,0.056794248222612864
Growth 5yr High Est,0.08330957323721253
Growth 5yr Consensus Est,0.0700519107299127
Growth 5yr Actual/Est,0.06816606249085008
Growth 3yr Historic,0.057911561340179996
Price/Earnings (TTM),22.96378
Price/Sales (TTM),1.75303
Price/Book (MRQ),2.26156
Price/Cash Flow (TTM),11.89957
5yr Low,18.25
5yr High,65.58
5yr Avg Return,-0.009650000000000004
EPS Growth 5yr,0.08309749999999999
Revenue Growth 5yr,0.0359503
Dividend Growth 5yr,
Short Int Current Month,4727778.0
Short Int Prev Month,4556512.0
Short Int Pct of Float,0.0310955
Days to Cover,4.09415
Float,152.0553
Shares Outstanding,152.9615
Institutions Holding Shares,536.0
FCF Growth 5yr,1.6871962088604846
"Price/Earnings (TTM, GAAP)",22.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32689999999999997
Operating Profit Margin (TTM),0.16760000000000003
Net Profit Margin (TTM),0.0784
Annual Dividend Yield,0.0097
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.0787
EPS Growth (TTM),-0.15990000000000001
Revenue Growth (MRQ),-0.0022
Revenue Growth (TTM),0.041299999999999996
Return On Equity (TTM),0.1018
Return On Assets (TTM),0.036000000000000004
Return On Investment (TTM),0.04
Revenue Per Employee (TTM),185408.0
Total Debt/Total Capital (MRQ),0.5801
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),2.23
Interest Coverage (MRQ),1.04
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-05-16 00:00:00
ford since,2021-09-03 00:00:00
cfra since,
marketEdge opinion since,
