,CBSH
% Below High,0.0016
% Held by Institutions,0.6735
52-Wk Range,['62.80 - 75.06']
Annual Dividend $,1.06
Annual Dividend %,0.0141
Ask,75.33
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,74.55
Bid Size,300.0
Closing Price,74.94
Day Change $,0.77
Day Change %,0.0104
Day High,75.06
Day Low,73.2
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.24600000000000002
Last (size),1300.0
Last (time),12:59p ET 11/25/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.27
Prev Close,74.17
Short Interest,0.023799999999999998
Today's Open,74.47
Volume,143721.0
Volume 10-day Avg,282188.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.07476635514018692
Growth 1yr High Est,-0.07061503416856485
Growth 1yr Consensus Est,-0.07269069465437589
Growth 2yr Low Est,-0.0765245917115076
Growth 2yr High Est,0.01248660056277634
Growth 2yr Consensus Est,-0.03201899557436563
Growth 5yr Low Est,0.017451989858531913
Growth 5yr High Est,0.06452981713532072
Growth 5yr Consensus Est,0.040990903496926315
Growth 5yr Actual/Est,0.09752502675749328
Growth 3yr Historic,0.10675646527257449
Price/Earnings (TTM),19.27365
Price/Sales (TTM),6.14936
Price/Book (MRQ),3.81162
Price/Cash Flow (TTM),16.92755
5yr Low,41.28
5yr High,79.1
5yr Avg Return,0.09208333333333334
EPS Growth 5yr,0.1606118
Revenue Growth 5yr,0.0353498
Dividend Growth 5yr,0.0801884
Short Int Current Month,2765808.0
Short Int Prev Month,3171356.0
Short Int Pct of Float,0.0238331
Days to Cover,8.7339
Float,116.1783
Shares Outstanding,119.3526
Institutions Holding Shares,505.0
FCF Growth 5yr,0.4017304350310553
"Price/Earnings (TTM, GAAP)",19.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4217
Net Profit Margin (TTM),0.3312
Annual Dividend Yield,0.0141
Dividend Change %,0.008199999999999999
"Dividend Growth Rate, 3 Years",0.085
EPS Growth (MRQ),0.0674
EPS Growth (TTM),-0.1211
Revenue Growth (MRQ),0.1042
Revenue Growth (TTM),0.0834
Return On Equity (TTM),0.16030000000000003
Return On Assets (TTM),0.0144
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-26 00:00:00
ford since,2022-08-26 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2009-08-20 00:00:00
