,DCOM
% Below High,0.0885
% Held by Institutions,0.7384000000000001
52-Wk Range,['28.36 - 38.20']
Annual Dividend $,0.96
Annual Dividend %,0.0276
Ask,55.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,31.61
Bid Size,100.0
Closing Price,34.82
Day Change $,0.54
Day Change %,0.0158
Day High,35.01
Day Low,34.32
Dividend Pay Date,2022-10-24 00:00:00
"EPS (TTM, GAAP)",3.57
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.29600000000000004
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.76
Prev Close,34.28
Short Interest,0.0441
Today's Open,34.35
Volume,49125.0
Volume 10-day Avg,85636.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.6217391304347828
Growth 1yr High Est,0.48235294117647065
Growth 1yr Consensus Est,0.5520460358056267
Growth 2yr Low Est,0.34706259470800804
Growth 2yr High Est,0.2967320261437909
Growth 2yr Consensus Est,0.3218973104258995
Growth 5yr Low Est,0.14764411515061415
Growth 5yr High Est,0.14720432544929518
Growth 5yr Consensus Est,0.14742422029995467
Growth 5yr Actual/Est,0.14429846439163208
Growth 3yr Historic,-0.011687930166191018
Price/Earnings (TTM),9.76017
Price/Sales (TTM),3.24732
Price/Book (MRQ),1.3113
Price/Cash Flow (TTM),
5yr Low,16.51
5yr High,38.35
5yr Avg Return,0.03583333333333333
EPS Growth 5yr,0.047414399999999995
Revenue Growth 5yr,0.2280353
Dividend Growth 5yr,0.0085483
Short Int Current Month,1578470.0
Short Int Prev Month,1588206.0
Short Int Pct of Float,0.044134200000000005
Days to Cover,14.95613
Float,35.77216
Shares Outstanding,38.57367
Institutions Holding Shares,213.0
FCF Growth 5yr,0.7708664898320071
"Price/Earnings (TTM, GAAP)",9.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5025000000000001
Net Profit Margin (TTM),0.3575
Annual Dividend Yield,0.0276
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0143
EPS Growth (MRQ),0.039900000000000005
EPS Growth (TTM),0.7786
Revenue Growth (MRQ),0.1349
Revenue Growth (TTM),0.2114
Return On Equity (TTM),0.1318
Return On Assets (TTM),0.0117
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-03-09 00:00:00
