,HCCI
% Below High,0.1059
% Held by Institutions,0.6214999999999999
52-Wk Range,['24.00 - 36.14']
Annual Dividend $,
Annual Dividend %,
Ask,33.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,32.15
Bid Size,100.0
Closing Price,32.31
Day Change $,-0.05
Day Change %,-0.0015
Day High,32.53
Day Low,31.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.19
Ex-dividend Date,No dividend
Historical Volatility,0.353
Last (size),32.0
Last (time),1:00p ET 11/25/22
Market Cap,781.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.14
Prev Close,32.36
Short Interest,0.0301
Today's Open,32.53
Volume,66563.0
Volume 10-day Avg,133149.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.30452674897119336
Growth 1yr High Est,0.3464566929133859
Growth 1yr Consensus Est,0.3254917209422896
Growth 2yr Low Est,-0.014929054536485353
Growth 2yr High Est,0.1951581710180964
Growth 2yr Consensus Est,0.09011455824080553
Growth 5yr Low Est,0.410117890314175
Growth 5yr High Est,0.48899322692318964
Growth 5yr Consensus Est,0.4495555586186823
Growth 5yr Actual/Est,1.3501825058080987
Growth 3yr Historic,1.30720823798627
Price/Earnings (TTM),10.14121
Price/Sales (TTM),1.22492
Price/Book (MRQ),1.89674
Price/Cash Flow (TTM),7.42344
5yr Low,11.3
5yr High,36.29
5yr Avg Return,0.12688333333333332
EPS Growth 5yr,0.5839955
Revenue Growth 5yr,0.08191979999999999
Dividend Growth 5yr,
Short Int Current Month,462692.0
Short Int Prev Month,470880.0
Short Int Pct of Float,0.0301275
Days to Cover,4.15019
Float,15.50782
Shares Outstanding,24.1773
Institutions Holding Shares,197.0
FCF Growth 5yr,0.0693960978876668
"Price/Earnings (TTM, GAAP)",10.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1638
Net Profit Margin (TTM),0.11810000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0978
EPS Growth (TTM),0.5571
Revenue Growth (MRQ),0.0994
Revenue Growth (TTM),0.3345
Return On Equity (TTM),0.2079
Return On Assets (TTM),0.1192
Return On Investment (TTM),0.1592
Revenue Per Employee (TTM),492077.0
Total Debt/Total Capital (MRQ),0.19820000000000002
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),36.98
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet since,2021-03-03 00:00:00
researchTeam since,2022-08-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
