,TSCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.33,19.03,Valuation,1.2785076195480818
Price/Sales (TTM),1.83,1.93,Valuation,0.9481865284974094
Price/Book (MRQ),12.76,92.12,Valuation,0.1385149804602692
"PEG Ratio (TTM, GAAP)",2.32,7.27,Valuation,0.31911966987620355
Gross Profit Margin (TTM),0.34990000000000004,0.34390000000000004,Profitability,1.0174469322477464
Operating Profit Margin (TTM),0.10130000000000002,0.11789999999999999,Profitability,0.8592027141645464
Net Profit Margin (TTM),0.07690000000000001,0.0818,Profitability,0.9400977995110026
Annual Dividend Yield,0.016399999999999998,0.016200000000000003,Dividend,1.0123456790123453
Dividend Change %,0.38670000000000004,0.2582,Dividend,1.4976762199845084
"Dividend Growth Rate, 3 Years",0.20120000000000002,0.09390000000000001,Dividend,2.142705005324814
EPS Growth (MRQ),-0.4054,-0.10800000000000001,Gowth rates,3.753703703703703
EPS Growth (TTM),0.1748,0.0262,Gowth rates,6.67175572519084
Revenue Growth (MRQ),-0.16210000000000002,0.0478,Gowth rates,-3.391213389121339
Revenue Growth (TTM),0.0999,0.0874,Gowth rates,1.143020594965675
Return On Equity (TTM),0.5246000000000001,5.2054,Effectiveness,0.1007799592730626
Return On Assets (TTM),0.13269999999999998,0.1562,Effectiveness,0.84955185659411
Return On Investment (TTM),0.18050000000000002,0.26,Effectiveness,0.6942307692307693
Revenue Per Employee (TTM),614438.0,410011.0,Effectiveness,1.4985890622446716
Total Debt/Total Capital (MRQ),0.3652,0.8926999999999999,Financial strength,0.4090960008961578
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0016,Financial strength,0.43750000000000006
Quick Ratio (MRQ),0.21,0.39,Financial strength,0.5384615384615384
Interest Coverage (MRQ),49.21,13.36,Financial strength,3.6833832335329344
