,TSCO
% Below High,0.0814
% Held by Institutions,0.8504999999999999
52-Wk Range,['166.49 - 241.54']
Annual Dividend $,3.68
Annual Dividend %,0.016399999999999998
Ask,222.8
Ask Size,3200.0
B/A Ratio,0.21875
B/A Size,700x3200
Beta,0.9
Bid,221.53
Bid Size,700.0
Closing Price,221.88
Day Change $,-2.14
Day Change %,-0.0096
Day High,225.47
Day Low,221.68
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",9.21
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.35600000000000004
Last (size),916.0
Last (time),4:00p ET 11/28/22
Market Cap,24.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.33
Prev Close,224.02
Short Interest,0.0371
Today's Open,223.81
Volume,1003925.0
Volume 10-day Avg,1126058.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,0.1327014218009479
Growth 1yr High Est,0.11649365628604391
Growth 1yr Consensus Est,0.12459753904349591
Growth 2yr Low Est,0.0857021753356203
Growth 2yr High Est,0.11609806781244347
Growth 2yr Consensus Est,0.10090012157403189
Growth 5yr Low Est,0.21667813473526548
Growth 5yr High Est,0.23654847399580742
Growth 5yr Consensus Est,0.22661330436553645
Growth 5yr Actual/Est,0.23355664609372373
Growth 3yr Historic,0.18188100905223303
Price/Earnings (TTM),24.33281
Price/Sales (TTM),1.83065
Price/Book (MRQ),12.76242
Price/Cash Flow (TTM),18.15753
5yr Low,58.27
5yr High,241.54
5yr Avg Return,0.2463666666666667
EPS Growth 5yr,0.2138603
Revenue Growth 5yr,0.1343124
Dividend Growth 5yr,0.17721309999999998
Short Int Current Month,4071633.0
Short Int Prev Month,4488337.0
Short Int Pct of Float,0.0370817
Days to Cover,3.10388
Float,109.8057
Shares Outstanding,110.4632
Institutions Holding Shares,1329.0
FCF Growth 5yr,-3.1434248037964347
"Price/Earnings (TTM, GAAP)",24.33
"PEG Ratio (TTM, GAAP)",2.32
Gross Profit Margin (TTM),0.34990000000000004
Operating Profit Margin (TTM),0.10130000000000002
Net Profit Margin (TTM),0.07690000000000001
Annual Dividend Yield,0.016399999999999998
Dividend Change %,0.38670000000000004
"Dividend Growth Rate, 3 Years",0.20120000000000002
EPS Growth (MRQ),-0.4054
EPS Growth (TTM),0.1748
Revenue Growth (MRQ),-0.16210000000000002
Revenue Growth (TTM),0.0999
Return On Equity (TTM),0.5246000000000001
Return On Assets (TTM),0.13269999999999998
Return On Investment (TTM),0.18050000000000002
Revenue Per Employee (TTM),614438.0
Total Debt/Total Capital (MRQ),0.3652
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.21
Interest Coverage (MRQ),49.21
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2018-05-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-22 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
