,VECO
% Above Low,0.1577
% Held by Institutions,1.0205
52-Wk Range,['16.11 - 32.40']
Annual Dividend $,
Annual Dividend %,
Ask,18.65
Ask Size,6900.0
B/A Ratio,0.08695652173913043
B/A Size,600x6900
Beta,1.3
Bid,18.63
Bid Size,600.0
Closing Price,18.65
Day Change $,-0.8
Day Change %,-0.041100000000000005
Day High,19.23
Day Low,18.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.75
Ex-dividend Date,No dividend
Historical Volatility,0.467
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,960.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.93
Prev Close,19.45
Short Interest,0.0913
Today's Open,19.23
Volume,390940.0
Volume 10-day Avg,434548.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.7926829268292683
Growth 1yr High Est,0.7222222222222223
Growth 1yr Consensus Est,0.7574525745257453
Growth 2yr Low Est,0.28749792599966817
Growth 2yr High Est,0.3449820788530466
Growth 2yr Consensus Est,0.3162400024263574
Growth 5yr Low Est,-2.1562510370001657
Growth 5yr High Est,-5.702508960573477
Growth 5yr Consensus Est,-3.9293799987868216
Growth 5yr Actual/Est,-7.262064563343634
Growth 3yr Historic,-7.250968992248063
Price/Earnings (TTM),25.9323
Price/Sales (TTM),1.54998
Price/Book (MRQ),2.26726
Price/Cash Flow (TTM),13.92985
5yr Low,6.27
5yr High,32.4
5yr Avg Return,0.13895000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.11950319999999999
Dividend Growth 5yr,
Short Int Current Month,4577430.0
Short Int Prev Month,4106317.0
Short Int Pct of Float,0.091271
Days to Cover,8.46346
Float,50.15616
Shares Outstanding,51.42515
Institutions Holding Shares,244.0
FCF Growth 5yr,0.8784972377601239
"Price/Earnings (TTM, GAAP)",25.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40950000000000003
Operating Profit Margin (TTM),0.1
Net Profit Margin (TTM),0.0716
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4216
EPS Growth (TTM),1.2755
Revenue Growth (MRQ),0.0483
Revenue Growth (TTM),0.1336
Return On Equity (TTM),0.10550000000000001
Return On Assets (TTM),0.0464
Return On Investment (TTM),0.059800000000000006
Revenue Per Employee (TTM),591485.0
Total Debt/Total Capital (MRQ),0.3835
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.78
Interest Coverage (MRQ),7.59
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-23 00:00:00
theStreet since,2022-09-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
