,CSGS
% Below High,0.083
% Held by Institutions,0.963
52-Wk Range,['51.28 - 66.59']
Annual Dividend $,1.06
Annual Dividend %,0.0174
Ask,61.42
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,60.7
Bid Size,300.0
Closing Price,61.06
Day Change $,-0.25
Day Change %,-0.0040999999999999995
Day High,61.68
Day Low,60.89
Dividend Pay Date,2022-09-29 00:00:00
"EPS (TTM, GAAP)",1.3
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.292
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.91
Prev Close,61.31
Short Interest,0.0176
Today's Open,60.94
Volume,63940.0
Volume 10-day Avg,144477.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.10240963855421703
Growth 1yr High Est,0.11377245508982048
Growth 1yr Consensus Est,0.10809104682201875
Growth 2yr Low Est,0.05666930015142546
Growth 2yr High Est,0.08914429206103924
Growth 2yr Consensus Est,0.07290679610623235
Growth 5yr Low Est,0.026894807866639753
Growth 5yr High Est,0.04343198922257052
Growth 5yr Consensus Est,0.03516339854460514
Growth 5yr Actual/Est,0.02425088916332646
Growth 3yr Historic,-0.010607340015980238
Price/Earnings (TTM),46.91149
Price/Sales (TTM),1.78967
Price/Book (MRQ),5.61538
Price/Cash Flow (TTM),16.12102
5yr Low,30.4
5yr High,66.59
5yr Avg Return,0.09135
EPS Growth 5yr,0.0347658
Revenue Growth 5yr,0.0657973
Dividend Growth 5yr,0.0620713
Short Int Current Month,537769.0
Short Int Prev Month,636935.0
Short Int Pct of Float,0.0176206
Days to Cover,3.40412
Float,30.52693
Shares Outstanding,31.50543
Institutions Holding Shares,319.0
FCF Growth 5yr,-0.13503590073425664
"Price/Earnings (TTM, GAAP)",46.91
"PEG Ratio (TTM, GAAP)",6.7
Gross Profit Margin (TTM),0.4818
Operating Profit Margin (TTM),0.0596
Net Profit Margin (TTM),0.0383
Annual Dividend Yield,0.0174
Dividend Change %,0.0638
"Dividend Growth Rate, 3 Years",0.059800000000000006
EPS Growth (MRQ),1.3724
EPS Growth (TTM),-0.38920000000000005
Revenue Growth (MRQ),0.0425
Revenue Growth (TTM),0.041600000000000005
Return On Equity (TTM),0.105
Return On Assets (TTM),0.031400000000000004
Return On Investment (TTM),0.0545
Revenue Per Employee (TTM),206712.0
Total Debt/Total Capital (MRQ),0.5551
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.44
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-03-18 00:00:00
ford since,2022-03-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-08 00:00:00
