,BDX
% Above Low,0.1026
% Held by Institutions,0.8809999999999999
52-Wk Range,['215.90 - 277.29']
Annual Dividend $,3.64
Annual Dividend %,0.015300000000000001
Ask,273.26
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.6
Bid,207.07
Bid Size,200.0
Closing Price,238.06
Day Change $,0.72
Day Change %,0.003
Day High,238.79
Day Low,236.5
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",5.38
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.267
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,67.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",44.27
Prev Close,237.34
Short Interest,0.0091
Today's Open,237.84
Volume,374999.0
Volume 10-day Avg,1729027.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.043324491600353676
Growth 1yr High Est,0.054433713784020954
Growth 1yr Consensus Est,0.048879102692187315
Growth 2yr Low Est,0.05937411020695649
Growth 2yr High Est,0.09382801426086973
Growth 2yr Consensus Est,0.07660106223391311
Growth 5yr Low Est,0.05937411020695649
Growth 5yr High Est,0.09382801426086973
Growth 5yr Consensus Est,0.07660106223391311
Growth 5yr Actual/Est,0.1321877489006708
Growth 3yr Historic,0.090493726132024
Price/Earnings (TTM),44.27047
Price/Sales (TTM),3.57501
Price/Book (MRQ),2.66835
Price/Cash Flow (TTM),17.87505
5yr Low,197.75
5yr High,286.72
5yr Avg Return,0.015233333333333335
EPS Growth 5yr,0.0313866
Revenue Growth 5yr,0.09306900000000001
Dividend Growth 5yr,
Short Int Current Month,2572900.0
Short Int Prev Month,2953546.0
Short Int Pct of Float,0.0091221
Days to Cover,1.10602
Float,282.125
Shares Outstanding,283.3758
Institutions Holding Shares,1954.0
FCF Growth 5yr,0.5096831782816887
"Price/Earnings (TTM, GAAP)",44.27
"PEG Ratio (TTM, GAAP)",23.3
Gross Profit Margin (TTM),0.44920000000000004
Operating Profit Margin (TTM),0.11970000000000001
Net Profit Margin (TTM),0.0866
Annual Dividend Yield,0.015300000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2796
EPS Growth (TTM),0.0373
Revenue Growth (MRQ),0.0259
Revenue Growth (TTM),-0.013600000000000001
Return On Equity (TTM),0.0631
Return On Assets (TTM),0.030600000000000002
Return On Investment (TTM),0.0354
Revenue Per Employee (TTM),245065.0
Total Debt/Total Capital (MRQ),0.3885
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),17.61
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-12 00:00:00
cfra since,2020-02-07 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-02-05 00:00:00
