,EDIT
% Above Low,0.045899999999999996
% Held by Institutions,0.6823999999999999
52-Wk Range,['9.59 - 33.86']
Annual Dividend $,
Annual Dividend %,
Ask,10.04
Ask Size,700.0
B/A Ratio,0.8571428571428571
B/A Size,600x700
Beta,1.9
Bid,10.0
Bid Size,600.0
Closing Price,10.03
Day Change $,-0.34
Day Change %,-0.032799999999999996
Day High,10.27
Day Low,9.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.93
Ex-dividend Date,No dividend
Historical Volatility,0.865
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,689.0M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.37
Short Interest,0.2762
Today's Open,10.24
Volume,628460.0
Volume 10-day Avg,1935985.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.125
Growth 2yr High Est,-0.15614617940199327
Growth 2yr Consensus Est,-0.015573089700996634
Growth 5yr Low Est,0.125
Growth 5yr High Est,-0.15614617940199327
Growth 5yr Consensus Est,-0.015573089700996634
Growth 5yr Actual/Est,0.08214514454898922
Growth 3yr Historic,0.04454997738579827
Price/Earnings (TTM),
Price/Sales (TTM),26.89489
Price/Book (MRQ),1.6629
Price/Cash Flow (TTM),
5yr Low,9.59
5yr High,99.95
5yr Avg Return,0.05075000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.3337169
Dividend Growth 5yr,
Short Int Current Month,18896877.0
Short Int Prev Month,18467835.0
Short Int Pct of Float,0.2761551
Days to Cover,12.56586
Float,68.42915
Shares Outstanding,68.76296
Institutions Holding Shares,350.0
FCF Growth 5yr,0.19587795673412467
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-7.9595
Net Profit Margin (TTM),-7.8432
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.041100000000000005
EPS Growth (TTM),0.0974
Revenue Growth (MRQ),-0.9934000000000001
Revenue Growth (TTM),0.047
Return On Equity (TTM),-0.40159999999999996
Return On Assets (TTM),-0.3223
Return On Investment (TTM),-0.3483
Revenue Per Employee (TTM),97136.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2017-02-03 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2017-05-16 00:00:00
