,EDIT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),26.89,45.03,Valuation,0.5971574505884966
Price/Book (MRQ),1.66,12.61,Valuation,0.1316415543219667
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-7.9595,-4.7459,Profitability,1.6771318401146253
Net Profit Margin (TTM),-7.8432,-4.5467,Profitability,1.725031341412453
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.041100000000000005,-0.0014000000000000002,Gowth rates,29.357142857142858
EPS Growth (TTM),0.0974,0.027200000000000002,Gowth rates,3.580882352941176
Revenue Growth (MRQ),-0.9934000000000001,1.3963999999999999,Gowth rates,-0.7114007447722717
Revenue Growth (TTM),0.047,0.9747,Gowth rates,0.04821996511747204
Return On Equity (TTM),-0.40159999999999996,0.1967,Effectiveness,-2.0416878495170305
Return On Assets (TTM),-0.3223,0.0016,Effectiveness,-201.43749999999997
Return On Investment (TTM),-0.3483,0.0219,Effectiveness,-15.904109589041097
Revenue Per Employee (TTM),97136.0,1476201.0,Effectiveness,0.06580133735175629
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
