,URG
% Above Low,0.2829
% Held by Institutions,0.4496
52-Wk Range,['0.951 - 1.95']
Annual Dividend $,
Annual Dividend %,
Ask,1.33
Ask Size,100.0
B/A Ratio,164.0
B/A Size,16400x100
Beta,1.4
Bid,1.22
Bid Size,16400.0
Closing Price,1.22
Day Change $,-0.05
Day Change %,-0.0394
Day High,1.28
Day Low,1.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.772
Last (size),30.0
Last (time),8:00p ET 11/28/22
Market Cap,267.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.27
Short Interest,0.0351
Today's Open,1.27
Volume,587100.0
Volume 10-day Avg,884059.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1428571428571428
Growth 1yr High Est,-0.5
Growth 1yr Consensus Est,-0.1785714285714286
Growth 2yr Low Est,-0.2410714285714286
Growth 2yr High Est,-1.0833333333333335
Growth 2yr Consensus Est,-0.662202380952381
Growth 5yr Low Est,-0.02053571428571427
Growth 5yr High Est,0.7083333333333333
Growth 5yr Consensus Est,0.34389880952380947
Growth 5yr Actual/Est,-0.11250000000000004
Growth 3yr Historic,0.28333333333333327
Price/Earnings (TTM),
Price/Sales (TTM),14792.71
Price/Book (MRQ),4.25845
Price/Cash Flow (TTM),
5yr Low,0.271
5yr High,2.15
5yr Avg Return,0.12146666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.7742771
Dividend Growth 5yr,
Short Int Current Month,7588753.0
Short Int Prev Month,8037943.0
Short Int Pct of Float,0.035078
Days to Cover,5.37095
Float,216.4713
Shares Outstanding,223.126
Institutions Holding Shares,114.0
FCF Growth 5yr,0.6511305956859371
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-358.36839999999995
Operating Profit Margin (TTM),-1024.842
Net Profit Margin (TTM),-622.2105
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-12.894400000000001
EPS Growth (TTM),0.6491
Revenue Growth (MRQ),-1.0
Revenue Growth (TTM),-0.3214
Return On Equity (TTM),-0.1996
Return On Assets (TTM),-0.106
Return On Investment (TTM),-0.1137
Revenue Per Employee (TTM),1900.0
Total Debt/Total Capital (MRQ),0.15660000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),4.8
Interest Coverage (MRQ),-11.71
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-11-03 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
