,URG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),14792.71,7.57,Valuation,1954.1228533685598
Price/Book (MRQ),4.26,4.65,Valuation,0.9161290322580644
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),-358.36839999999995,0.35119999999999996,Profitability,-1020.4111617312072
Operating Profit Margin (TTM),-1024.842,0.192,Profitability,-5337.71875
Net Profit Margin (TTM),-622.2105,0.0358,Profitability,-17380.181564245813
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-12.894400000000001,2.3421000000000003,Gowth rates,-5.505486529183211
EPS Growth (TTM),0.6491,7.2215,Gowth rates,0.08988437305268988
Revenue Growth (MRQ),-1.0,0.7168000000000001,Gowth rates,-1.3950892857142856
Revenue Growth (TTM),-0.3214,47.807,Gowth rates,-0.006722864852427469
Return On Equity (TTM),-0.1996,0.3993,Effectiveness,-0.49987478086651643
Return On Assets (TTM),-0.106,0.15810000000000002,Effectiveness,-0.6704617330803289
Return On Investment (TTM),-0.1137,0.2237,Effectiveness,-0.5082700044702726
Revenue Per Employee (TTM),1900.0,7554984.0,Effectiveness,0.0002514896126848184
Total Debt/Total Capital (MRQ),0.15660000000000002,0.3658,Financial strength,0.4281027884089667
Change in Debt/Total Capital Quarter over Quarter,-0.0006,-0.002,Financial strength,0.3
Quick Ratio (MRQ),4.8,0.96,Financial strength,5.0
Interest Coverage (MRQ),-11.71,13.28,Financial strength,-0.881777108433735
