,SWX
% Above Low,0.08789999999999999
% Held by Institutions,0.8615999999999999
52-Wk Range,['62.60 - 95.62']
Annual Dividend $,2.48
Annual Dividend %,0.0354
Ask,68.14
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,68.1
Bid Size,100.0
Day Change $,-1.91
Day Change %,-0.0273
Day High,69.53
Day Low,67.91
Dividend Pay Date,2023-03-01 00:00:00
"EPS (TTM, GAAP)",2.45
Ex-dividend,2023-02-14 00:00:00
Ex-dividend Date,02/14/23
Historical Volatility,0.306
Last (size),100.0
Last (time),3:48p ET 11/28/22
Market Cap,4.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",28.58
Prev Close,70.01
Price,68.1
Short Interest,0.0337
Today's Open,69.43
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1657142857142857
Growth 2yr High Est,0.2376237623762376
Growth 2yr Consensus Est,0.20166902404526166
Growth 5yr Low Est,0.1657142857142857
Growth 5yr High Est,0.2376237623762376
Growth 5yr Consensus Est,0.20166902404526166
Growth 5yr Actual/Est,0.040385515312743175
Growth 3yr Historic,-0.0168990166507271
Price/Earnings (TTM),28.58368
Price/Sales (TTM),1.01555
Price/Book (MRQ),1.3757
Price/Cash Flow (TTM),7.79985
5yr Low,45.68
5yr High,95.62
5yr Avg Return,-0.030683333333333333
EPS Growth 5yr,0.0127721
Revenue Growth 5yr,0.0838667
Dividend Growth 5yr,0.0605784
Short Int Current Month,2240695.0
Short Int Prev Month,2301802.0
Short Int Pct of Float,0.0337406
Days to Cover,2.96259
Float,66.46396
Shares Outstanding,67.06782
Institutions Holding Shares,384.0
FCF Growth 5yr,-1.4640778413505684
"Price/Earnings (TTM, GAAP)",28.58
"PEG Ratio (TTM, GAAP)",7.15
Gross Profit Margin (TTM),-0.8502
Operating Profit Margin (TTM),0.0817
Net Profit Margin (TTM),0.0327
Annual Dividend Yield,0.0354
Dividend Change %,0.0443
"Dividend Growth Rate, 3 Years",0.04650000000000001
EPS Growth (MRQ),-0.8690000000000001
EPS Growth (TTM),-0.4001
Revenue Growth (MRQ),-0.0179
Revenue Growth (TTM),0.3172
Return On Equity (TTM),0.0466
Return On Assets (TTM),0.0129
Return On Investment (TTM),0.0147
Revenue Per Employee (TTM),2022548.0
Total Debt/Total Capital (MRQ),0.6406000000000001
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.82
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-01-07 00:00:00
theStreet since,2022-04-05 00:00:00
ford since,2022-01-07 00:00:00
cfra since,
marketEdge opinion since,
