,SWX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.58,14.24,Valuation,2.0070224719101124
Price/Sales (TTM),1.02,2.38,Valuation,0.4285714285714286
Price/Book (MRQ),1.38,1.74,Valuation,0.793103448275862
"PEG Ratio (TTM, GAAP)",7.15,0.54,Valuation,13.24074074074074
Gross Profit Margin (TTM),-0.8502,0.0276,Profitability,-30.804347826086957
Operating Profit Margin (TTM),0.0817,0.2274,Profitability,0.3592788038698329
Net Profit Margin (TTM),0.0327,0.1543,Profitability,0.21192482177576152
Annual Dividend Yield,0.0354,0.0315,Dividend,1.1238095238095238
Dividend Change %,0.0443,0.0611,Dividend,0.7250409165302782
"Dividend Growth Rate, 3 Years",0.04650000000000001,0.046200000000000005,Dividend,1.0064935064935066
EPS Growth (MRQ),-0.8690000000000001,3.7687,Gowth rates,-0.23058349032822992
EPS Growth (TTM),-0.4001,0.26230000000000003,Gowth rates,-1.5253526496378191
Revenue Growth (MRQ),-0.0179,0.2857,Gowth rates,-0.06265313265663283
Revenue Growth (TTM),0.3172,0.2609,Gowth rates,1.2157914909927174
Return On Equity (TTM),0.0466,0.1134,Effectiveness,0.41093474426807763
Return On Assets (TTM),0.0129,0.0425,Effectiveness,0.3035294117647059
Return On Investment (TTM),0.0147,0.063,Effectiveness,0.23333333333333334
Revenue Per Employee (TTM),2022548.0,1275962.0,Effectiveness,1.5851161711712418
Total Debt/Total Capital (MRQ),0.6406000000000001,0.6062,Financial strength,1.0567469482019136
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0001,Financial strength,20.0
Quick Ratio (MRQ),,0.57,Financial strength,
Interest Coverage (MRQ),0.82,2.68,Financial strength,0.3059701492537313
