,UNVR
% Below High,0.047400000000000005
% Held by Institutions,0.9754999999999999
52-Wk Range,['21.49 - 34.00']
Annual Dividend $,
Annual Dividend %,
Ask,32.9
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.7
Bid,32.0
Bid Size,500.0
Closing Price,32.39
Day Change $,1.39
Day Change %,0.044800000000000006
Day High,33.58
Day Low,31.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.7
Ex-dividend Date,No dividend
Historical Volatility,0.373
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",8.38
Prev Close,31.0
Short Interest,0.0599
Today's Open,33.55
Volume,7300623.0
Volume 10-day Avg,2079860.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.931034482758621
Growth 1yr High Est,1.7698412698412698
Growth 1yr Consensus Est,1.8504378762999454
Growth 2yr Low Est,0.8802231237322516
Growth 2yr High Est,0.873459316869059
Growth 2yr Consensus Est,0.8768412203006553
Growth 5yr Low Est,0.4049263766809406
Growth 5yr High Est,0.4039710377448743
Growth 5yr Consensus Est,0.40444870721290743
Growth 5yr Actual/Est,0.2750620178394746
Growth 3yr Historic,0.1672142857142858
Price/Earnings (TTM),8.37888
Price/Sales (TTM),0.44445
Price/Book (MRQ),1.97229
Price/Cash Flow (TTM),6.23618
5yr Low,6.4
5yr High,34.0
5yr Avg Return,0.06658333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.033842
Dividend Growth 5yr,
Short Int Current Month,9689923.0
Short Int Prev Month,4806343.0
Short Int Pct of Float,0.059925
Days to Cover,5.68788
Float,161.7443
Shares Outstanding,163.1665
Institutions Holding Shares,393.0
FCF Growth 5yr,-1.156653595846086
"Price/Earnings (TTM, GAAP)",8.38
"PEG Ratio (TTM, GAAP)",0.55
Gross Profit Margin (TTM),0.2463
Operating Profit Margin (TTM),0.0751
Net Profit Margin (TTM),0.055400000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.19
EPS Growth (TTM),1.3453
Revenue Growth (MRQ),-0.011000000000000001
Revenue Growth (TTM),0.2544
Return On Equity (TTM),0.2666
Return On Assets (TTM),0.091
Return On Investment (TTM),0.1183
Revenue Per Employee (TTM),1204318.0
Total Debt/Total Capital (MRQ),0.4941
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),7.44
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2021-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
