,UNVR
Price/Earnings (TTM),8.37888
Price/Sales (TTM),0.44445
Price/Book (MRQ),1.97229
Price/Cash Flow (TTM),6.23618
5yr Low,6.4
5yr High,34.0
5yr Avg Return,0.06658333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.033842
Dividend Growth 5yr,
Short Int Current Month,9689923.0
Short Int Prev Month,4806343.0
Short Int Pct of Float,0.059925
Days to Cover,5.68788
Float,161.7443
Shares Outstanding,163.1665
Institutions Holding Shares,393.0
% Held by Institutions,0.9754510000000001
FCF Growth 5yr,-1.156653595846086
