,UNVR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.38,17.46,Valuation,0.47995418098510884
Price/Sales (TTM),0.44,2.11,Valuation,0.2085308056872038
Price/Book (MRQ),1.97,6.17,Valuation,0.3192868719611021
"PEG Ratio (TTM, GAAP)",0.55,0.31,Valuation,1.774193548387097
Gross Profit Margin (TTM),0.2463,0.42710000000000004,Profitability,0.5766799344415827
Operating Profit Margin (TTM),0.0751,0.14730000000000001,Profitability,0.5098438560760352
Net Profit Margin (TTM),0.055400000000000005,0.0835,Profitability,0.6634730538922156
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),-0.19,0.4814,Gowth rates,-0.39468217698379726
EPS Growth (TTM),1.3453,0.5656,Gowth rates,2.3785360678925036
Revenue Growth (MRQ),-0.011000000000000001,0.1985,Gowth rates,-0.055415617128463476
Revenue Growth (TTM),0.2544,0.2242,Gowth rates,1.134701159678858
Return On Equity (TTM),0.2666,0.3129,Effectiveness,0.8520294023649728
Return On Assets (TTM),0.091,0.1319,Effectiveness,0.6899166034874905
Return On Investment (TTM),0.1183,0.17420000000000002,Effectiveness,0.6791044776119403
Revenue Per Employee (TTM),1204318.0,1897425.0,Effectiveness,0.6347117804392796
Total Debt/Total Capital (MRQ),0.4941,0.4449,Financial strength,1.1105866486850977
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0005,Financial strength,0.0
Quick Ratio (MRQ),1.36,1.09,Financial strength,1.2477064220183487
Interest Coverage (MRQ),7.44,26.1,Financial strength,0.2850574712643678
