,GOGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.97,1.78,Valuation,1.6685393258426968
Price/Sales (TTM),1.42,1.04,Valuation,1.3653846153846152
Price/Book (MRQ),0.92,0.9,Valuation,1.0222222222222221
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.5956,0.5485,Profitability,1.0858705560619872
Operating Profit Margin (TTM),0.45299999999999996,0.3992,Profitability,1.1347695390781563
Net Profit Margin (TTM),0.4796,0.35590000000000005,Profitability,1.3475695420061813
Annual Dividend Yield,0.1587,0.2386,Dividend,0.6651299245599329
Dividend Change %,,-0.0096,Dividend,
"Dividend Growth Rate, 3 Years",0.5263,0.0273,Dividend,19.278388278388277
EPS Growth (MRQ),-0.3622,0.9138,Gowth rates,-0.3963668198730576
EPS Growth (TTM),0.6533,2.3035,Gowth rates,0.2836118949424788
Revenue Growth (MRQ),-0.1093,0.171,Gowth rates,-0.6391812865497075
Revenue Growth (TTM),0.2582,0.5225,Gowth rates,0.4941626794258373
Return On Equity (TTM),0.313,0.4708,Effectiveness,0.6648258283772303
Return On Assets (TTM),0.1739,0.2297,Effectiveness,0.7570744449281672
Return On Investment (TTM),0.18789999999999998,0.2812,Effectiveness,0.6682076813655761
Revenue Per Employee (TTM),33667730.0,7597192.0,Effectiveness,4.431601833940751
Total Debt/Total Capital (MRQ),0.3969,0.3566,Financial strength,1.1130117779024118
Change in Debt/Total Capital Quarter over Quarter,-0.0009,-0.0014000000000000002,Financial strength,0.6428571428571428
Quick Ratio (MRQ),,1.16,Financial strength,
Interest Coverage (MRQ),,13.82,Financial strength,
