,GOGL
% Above Low,0.2182
% Held by Institutions,0.29600000000000004
52-Wk Range,['7.24 - 16.46']
Annual Dividend $,1.4
Annual Dividend %,0.15869999999999998
Ask,8.8
Ask Size,2400.0
B/A Ratio,0.4583333333333333
B/A Size,1100x2400
Beta,1.4
Bid,8.72
Bid Size,1100.0
Closing Price,8.82
Day Change $,0.46
Day Change %,0.055
Day High,8.89
Day Low,8.59
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.622
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",2.97
Prev Close,8.36
Short Interest,0.04650000000000001
Today's Open,8.7
Volume,2255297.0
Volume 10-day Avg,3055223.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1562500000000001
Growth 1yr High Est,-0.27181208053691275
Growth 1yr Consensus Est,-0.21403104026845643
Growth 2yr Low Est,-0.2791832010582011
Growth 2yr High Est,-0.23728852874771905
Growth 2yr Consensus Est,-0.2582358649029601
Growth 5yr Low Est,-0.2791832010582011
Growth 5yr High Est,-0.23728852874771905
Growth 5yr Consensus Est,-0.2582358649029601
Growth 5yr Actual/Est,-6.173573591468474
Growth 3yr Historic,-6.034274193548387
Price/Earnings (TTM),2.97372
Price/Sales (TTM),1.42233
Price/Book (MRQ),0.92173
Price/Cash Flow (TTM),2.43297
5yr Low,2.52
5yr High,16.46
5yr Avg Return,0.06656666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.3618394
Dividend Growth 5yr,
Short Int Current Month,5677535.0
Short Int Prev Month,6703127.0
Short Int Pct of Float,0.0464552
Days to Cover,2.17065
Float,122.2153
Shares Outstanding,200.8856
Institutions Holding Shares,224.0
FCF Growth 5yr,0.49638180693263373
"Price/Earnings (TTM, GAAP)",2.97
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5956
Operating Profit Margin (TTM),0.45299999999999996
Net Profit Margin (TTM),0.4796
Annual Dividend Yield,0.1587
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.5263
EPS Growth (MRQ),-0.3622
EPS Growth (TTM),0.6533
Revenue Growth (MRQ),-0.1093
Revenue Growth (TTM),0.2582
Return On Equity (TTM),0.313
Return On Assets (TTM),0.1739
Return On Investment (TTM),0.18789999999999998
Revenue Per Employee (TTM),33667730.0
Total Debt/Total Capital (MRQ),0.3969
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-08-27 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
