,BLD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.03,7.14,Valuation,1.4047619047619047
Price/Sales (TTM),1.0,7.33,Valuation,0.1364256480218281
Price/Book (MRQ),2.62,2.07,Valuation,1.2657004830917875
"PEG Ratio (TTM, GAAP)",0.95,0.43,Valuation,2.2093023255813953
Gross Profit Margin (TTM),0.29,0.3091,Profitability,0.938207699773536
Operating Profit Margin (TTM),0.1482,0.1507,Profitability,0.9834107498341075
Net Profit Margin (TTM),0.102,0.11320000000000001,Profitability,0.9010600706713779
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.081,-0.0688,Gowth rates,-1.177325581395349
EPS Growth (TTM),0.5726,0.16670000000000001,Gowth rates,3.4349130173965206
Revenue Growth (MRQ),0.021,0.1173,Gowth rates,0.17902813299232737
Revenue Growth (TTM),0.529,0.149,Gowth rates,3.550335570469799
Return On Equity (TTM),0.2889,0.38439999999999996,Effectiveness,0.7515608740894901
Return On Assets (TTM),0.1286,0.135,Effectiveness,0.9525925925925924
Return On Investment (TTM),0.1569,0.1699,Effectiveness,0.9234844025897587
Revenue Per Employee (TTM),369645.0,1633986.0,Effectiveness,0.2262228684945893
Total Debt/Total Capital (MRQ),0.4457,0.29309999999999997,Financial strength,1.5206414193108155
Change in Debt/Total Capital Quarter over Quarter,0.0046,-0.0005,Financial strength,-9.2
Quick Ratio (MRQ),1.27,0.53,Financial strength,2.3962264150943398
Interest Coverage (MRQ),15.31,51.09,Financial strength,0.2996672538657271
