,BLD
% Above Low,0.0696
% Held by Institutions,0.968
52-Wk Range,['140.66 - 284.07']
Annual Dividend $,
Annual Dividend %,
Ask,151.14
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,120.0
Bid Size,200.0
Closing Price,150.45
Day Change $,0.36
Day Change %,0.0024
Day High,151.95
Day Low,149.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.01
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.03
Prev Close,150.09
Short Interest,0.031400000000000004
Today's Open,149.75
Volume,55623.0
Volume 10-day Avg,453690.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.5571428571428574
Growth 1yr High Est,0.552823315118397
Growth 1yr Consensus Est,0.5549830861306272
Growth 2yr Low Est,0.15930537352555707
Growth 2yr High Est,0.3315436223685826
Growth 2yr Consensus Est,0.24542449794706983
Growth 5yr Low Est,0.2811480958541769
Growth 5yr High Est,0.37267206171691974
Growth 5yr Consensus Est,0.3269100787855483
Growth 5yr Actual/Est,0.313750919684023
Growth 3yr Historic,0.20410799355471482
Price/Earnings (TTM),10.0256
Price/Sales (TTM),1.00055
Price/Book (MRQ),2.62232
Price/Cash Flow (TTM),7.86053
5yr Low,41.27
5yr High,284.07
5yr Avg Return,0.31060000000000004
EPS Growth 5yr,0.3851124
Revenue Growth 5yr,0.1487318
Dividend Growth 5yr,
Short Int Current Month,996961.0
Short Int Prev Month,1193630.0
Short Int Pct of Float,0.0313542
Days to Cover,1.50933
Float,31.81027
Shares Outstanding,31.97233
Institutions Holding Shares,465.0
FCF Growth 5yr,0.4354842570534417
"Price/Earnings (TTM, GAAP)",10.03
"PEG Ratio (TTM, GAAP)",0.95
Gross Profit Margin (TTM),0.29
Operating Profit Margin (TTM),0.1482
Net Profit Margin (TTM),0.102
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.081
EPS Growth (TTM),0.5726
Revenue Growth (MRQ),0.021
Revenue Growth (TTM),0.529
Return On Equity (TTM),0.2889
Return On Assets (TTM),0.1286
Return On Investment (TTM),0.1569
Revenue Per Employee (TTM),369645.0
Total Debt/Total Capital (MRQ),0.4457
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),15.31
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2017-06-19 00:00:00
