,FELE
% Below High,0.124
% Held by Institutions,0.8251000000000001
52-Wk Range,['68.27 - 96.19']
Annual Dividend $,0.78
Annual Dividend %,0.009300000000000001
Ask,86.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.0
Bid,33.92
Bid Size,200.0
Closing Price,84.26
Day Change $,0.1
Day Change %,0.0012
Day High,85.04
Day Low,83.91
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.335
Last (size),22.0
Last (time),1:00p ET 11/25/22
Market Cap,3.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.09
Prev Close,84.16
Short Interest,0.018600000000000002
Today's Open,83.91
Volume,54588.0
Volume 10-day Avg,119831.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.9333333333333331
Growth 1yr High Est,0.9302325581395352
Growth 1yr Consensus Est,0.9317829457364342
Growth 2yr Low Est,0.47405582922824296
Growth 2yr High Est,0.4759596525637435
Growth 2yr Consensus Est,0.47500774089599324
Growth 5yr Low Est,0.2323550174178598
Growth 5yr High Est,0.23567567881643398
Growth 5yr Consensus Est,0.2340153481171469
Growth 5yr Actual/Est,0.20733672822469645
Growth 3yr Historic,0.13713823516376367
Price/Earnings (TTM),21.08936
Price/Sales (TTM),1.96436
Price/Book (MRQ),3.80692
Price/Cash Flow (TTM),16.34879
5yr Low,38.45
5yr High,96.95
5yr Avg Return,0.12501666666666666
EPS Growth 5yr,0.1356897
Revenue Growth 5yr,0.1183754
Dividend Growth 5yr,0.1198302
Short Int Current Month,719960.0
Short Int Prev Month,903722.0
Short Int Pct of Float,0.0186438
Days to Cover,4.48188
Float,38.6065
Shares Outstanding,46.31853
Institutions Holding Shares,369.0
FCF Growth 5yr,-0.7581095098114363
"Price/Earnings (TTM, GAAP)",21.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33740000000000003
Operating Profit Margin (TTM),0.12490000000000001
Net Profit Margin (TTM),0.0956
Annual Dividend Yield,0.009300000000000001
Dividend Change %,0.129
"Dividend Growth Rate, 3 Years",0.14400000000000002
EPS Growth (MRQ),-0.0146
EPS Growth (TTM),0.3503
Revenue Growth (MRQ),0.001
Revenue Growth (TTM),0.28140000000000004
Return On Equity (TTM),0.1927
Return On Assets (TTM),0.1164
Return On Investment (TTM),0.1587
Revenue Per Employee (TTM),310438.0
Total Debt/Total Capital (MRQ),0.2073
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),12.61
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2016-03-22 00:00:00
researchTeam since,2022-04-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
marketEdge opinion since,
