,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.28,11.1,13.51,42.81,39.67,,,,,
low,9.5,9.65,4.61,11.97,9.09,,,,,
change,0.0189,0.1244,0.1496,2.0135,-0.6775,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,144364.0,153308.0,150018.0,255188.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,39153.0,41726.0,44607.0,50377.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-315.0,-360.0,-447.0,-424.0,Balance Sheet
"Total Receivables, Net",,,,,,43313.0,46707.0,48759.0,54468.0,Balance Sheet
Prepaid Expenses,,,,,,4503.0,5771.0,7649.0,7387.0,Balance Sheet
Deferred Income Tax,,,,,,4324.0,4171.0,4015.0,3895.0,Balance Sheet
Other Current Assets,,,,,,,,156.0,183.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,584.0,783.0,1327.0,2320.0,Balance Sheet
Total Current Assets,,,,,,192764.0,206569.0,207753.0,319363.0,Balance Sheet
Buildings,,,,,,486.0,479.0,500.0,486.0,Balance Sheet
Machinery/Equipment,,,,,,16199.0,17722.0,18263.0,18317.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,1174.0,6470.0,6123.0,6744.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,17859.0,24671.0,24886.0,25547.0,Balance Sheet
Accumulated Depreciation,,,,,,-11690.0,-12537.0,-12614.0,-12458.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,6169.0,12134.0,12272.0,13089.0,Balance Sheet
"Goodwill, Net",,,,,,35958.0,35958.0,35958.0,35958.0,Balance Sheet
Intangibles - Gross,,,,,,21087.0,21087.0,21087.0,21087.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-1990.0,-2611.0,-3231.0,-3851.0,Balance Sheet
Intangibles - Net,,,,,,19097.0,18476.0,17856.0,17236.0,Balance Sheet
Long Term Investments,,,,,,,,1000.0,1000.0,Balance Sheet
Other Long Term Assets,,,,,,,,181.0,165.0,Balance Sheet
Total Assets,,,,,,256719.0,275802.0,278173.0,390145.0,Balance Sheet
Accounts Payable,,,,,,2053.0,2212.0,3394.0,4478.0,Balance Sheet
Accrued Expenses,,,,,,11712.0,19012.0,22494.0,17073.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,798.0,783.0,752.0,712.0,Balance Sheet
Income Taxes Payable,,,,,,1980.0,3878.0,5058.0,7801.0,Balance Sheet
Other Current Liabilities,,,,,,8801.0,6806.0,6870.0,1573.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,11579.0,11467.0,12680.0,10086.0,Balance Sheet
Total Current Liabilities,,,,,,25344.0,32691.0,38568.0,31637.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,4806.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,4806.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,2882.0,2665.0,3775.0,Balance Sheet
Total Liabilities,,,,,,29668.0,44550.0,45248.0,39307.0,Balance Sheet
Common Stock,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Additional Paid-In Capital,,,,,,212077.0,219228.0,234869.0,360313.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,15093.0,12426.0,-760.0,-7419.0,Balance Sheet
"Other Equity, Total",,,,,,-126.0,-409.0,-1191.0,-2063.0,Balance Sheet
Total Equity,,,,,,227051.0,231252.0,232925.0,350838.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,256719.0,275802.0,278173.0,390145.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,66851.0,67057.0,67294.0,73999.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,66537.0,71410.0,77335.0,81161.0,Income Statement
"Cost of Revenue, Total",,,,,,39209.0,44631.0,48474.0,48491.0,Income Statement
Selling/Gen/Admin Expense,,,,,,15746.0,15932.0,21393.0,17931.0,Income Statement
Labor & Related Expense,,,,,,10336.0,7548.0,14477.0,15350.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,26082.0,23480.0,35870.0,33281.0,Income Statement
Research & Development,,,,,,2772.0,3096.0,3840.0,4139.0,Income Statement
Total Operating Expense,,,,,,68063.0,71207.0,88184.0,85911.0,Income Statement
Total Operating Income,,,,,,-1526.0,203.0,-10849.0,-4750.0,Income Statement
"Other, Net",,,,,,-1487.0,-700.0,-626.0,1450.0,Income Statement
