,GDYN
% Above Low,0.3627
% Held by Institutions,0.6942
52-Wk Range,['9.09 - 42.81']
Annual Dividend $,
Annual Dividend %,
Ask,12.74
Ask Size,1100.0
B/A Ratio,0.36363636363636365
B/A Size,400x1100
Beta,0.8
Bid,11.6
Bid Size,400.0
Closing Price,12.38
Day Change $,-0.37
Day Change %,-0.028999999999999998
Day High,12.75
Day Low,12.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,0.831
Last (size),23.0
Last (time),1:00p ET 11/25/22
Market Cap,916.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.75
Short Interest,0.0259
Today's Open,12.68
Volume,130845.0
Volume 10-day Avg,519012.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.38235294117647034
Growth 1yr High Est,0.38888888888888884
Growth 1yr Consensus Est,0.3856209150326796
Growth 2yr Low Est,0.20181476846057556
Growth 2yr High Est,0.3044444444444444
Growth 2yr Consensus Est,0.25312960645251
Growth 5yr Low Est,0.20181476846057556
Growth 5yr High Est,0.3044444444444444
Growth 5yr Consensus Est,0.25312960645251
Growth 5yr Actual/Est,0.21400494159928118
Growth 3yr Historic,0.1098382749326145
Price/Earnings (TTM),
Price/Sales (TTM),3.09033
Price/Book (MRQ),2.6112
Price/Cash Flow (TTM),
5yr Low,4.61
5yr High,42.81
5yr Avg Return,0.32577999999999996
Short Int Current Month,1391245.0
Short Int Prev Month,1364978.0
Short Int Pct of Float,0.0258931
Days to Cover,1.89957
Float,51.61789
Shares Outstanding,73.99902
Institutions Holding Shares,240.0
FCF Growth 5yr,0.1310173933184325
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3901
Operating Profit Margin (TTM),-0.0571
Net Profit Margin (TTM),-0.08810000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5059
EPS Growth (TTM),-1.2712
Revenue Growth (MRQ),0.0495
Revenue Growth (TTM),0.6951999999999999
Return On Equity (TTM),-0.0834
Return On Assets (TTM),-0.0752
Return On Investment (TTM),-0.0817
Revenue Per Employee (TTM),90545.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-03-03 00:00:00
researchTeam since,2022-03-03 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
