,GDYN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),3.09,19.35,Valuation,0.15968992248062014
Price/Book (MRQ),2.61,19.03,Valuation,0.13715186547556488
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.3901,0.44520000000000004,Profitability,0.8762353998203054
Operating Profit Margin (TTM),-0.0571,0.3027,Profitability,-0.18863561281797156
Net Profit Margin (TTM),-0.08810000000000001,0.23600000000000002,Profitability,-0.37330508474576274
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.5059,-3.5570999999999997,Gowth rates,-0.14222259705940235
EPS Growth (TTM),-1.2712,0.15560000000000002,Gowth rates,-8.169665809768638
Revenue Growth (MRQ),0.0495,0.16460000000000002,Gowth rates,0.3007290400972053
Revenue Growth (TTM),0.6951999999999999,0.2273,Gowth rates,3.0585129784425864
Return On Equity (TTM),-0.0834,0.5459,Effectiveness,-0.15277523355925993
Return On Assets (TTM),-0.0752,0.1131,Effectiveness,-0.6648983200707339
Return On Investment (TTM),-0.0817,0.189,Effectiveness,-0.43227513227513226
Revenue Per Employee (TTM),90545.0,686063.0,Effectiveness,0.13197767551959513
Total Debt/Total Capital (MRQ),0.0,0.5613,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
