,ROL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.95,49.52,Valuation,1.1500403877221324
Price/Sales (TTM),7.47,4.95,Valuation,1.509090909090909
Price/Book (MRQ),16.46,8.39,Valuation,1.9618593563766389
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.5149,0.3995,Profitability,1.2888610763454318
Operating Profit Margin (TTM),0.1761,-0.031400000000000004,Profitability,-5.608280254777069
Net Profit Margin (TTM),0.13119999999999998,-0.042300000000000004,Profitability,-3.1016548463356965
Annual Dividend Yield,0.013000000000000001,0.011000000000000001,Dividend,1.1818181818181819
Dividend Change %,0.4167,0.0031,Dividend,134.4193548387097
"Dividend Growth Rate, 3 Years",0.10960000000000002,0.076,Dividend,1.442105263157895
EPS Growth (MRQ),0.073,0.2798,Gowth rates,0.26090064331665475
EPS Growth (TTM),-0.0073,0.017,Gowth rates,-0.4294117647058823
Revenue Growth (MRQ),0.0219,6.526000000000001,Gowth rates,0.003355807539074471
Revenue Growth (TTM),0.11630000000000001,0.4152,Gowth rates,0.2801059730250482
Return On Equity (TTM),0.3008,0.24,Effectiveness,1.2533333333333334
Return On Assets (TTM),0.1721,0.08750000000000001,Effectiveness,1.9668571428571426
Return On Investment (TTM),0.22820000000000001,0.11080000000000001,Effectiveness,2.05956678700361
Revenue Per Employee (TTM),159858.0,300327.0,Effectiveness,0.5322798150016482
Total Debt/Total Capital (MRQ),0.0945,0.4451,Financial strength,0.21231184003594697
Change in Debt/Total Capital Quarter over Quarter,0.006600000000000001,0.0070999999999999995,Financial strength,0.9295774647887326
Quick Ratio (MRQ),0.73,1.37,Financial strength,0.5328467153284671
Interest Coverage (MRQ),169.84,18.65,Financial strength,9.106702412868634
