,ROL
% Below High,0.0706
% Held by Institutions,0.4192
52-Wk Range,['28.51 - 43.06']
Annual Dividend $,0.52
Annual Dividend %,0.013000000000000001
Ask,40.02
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.6
Bid,40.01
Bid Size,300.0
Day Change $,0.03
Day Change %,0.0008
Day High,40.34
Day Low,39.78
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",0.7
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.305
Last (size),207.0
Last (time),1:10p ET 11/28/22
Market Cap,19.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",56.95
Prev Close,39.99
Price,40.02
Short Interest,0.0529
Today's Open,39.78
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.07462686567164178
Growth 1yr High Est,0.027397260273972712
Growth 1yr Consensus Est,0.05101206297280725
Growth 2yr Low Est,0.07898009950248763
Growth 2yr High Est,0.10703196347031974
Growth 2yr Consensus Est,0.09300603148640368
Growth 5yr Low Est,0.02212893864013274
Growth 5yr High Est,0.050137603356781496
Growth 5yr Consensus Est,0.03613327099845712
Growth 5yr Actual/Est,0.1429539471800897
Growth 3yr Historic,0.0903250188964475
Price/Earnings (TTM),56.95202
Price/Sales (TTM),7.47463
Price/Book (MRQ),16.45895
Price/Cash Flow (TTM),44.47168
5yr Low,19.87
5yr High,43.06
5yr Avg Return,0.15211666666666665
EPS Growth 5yr,0.1589675
Revenue Growth 5yr,0.0902979
Dividend Growth 5yr,0.1384637
Short Int Current Month,12786601.0
Short Int Prev Month,12779578.0
Short Int Pct of Float,0.0528705
Days to Cover,8.42599
Float,234.0885
Shares Outstanding,492.4724
Institutions Holding Shares,738.0
FCF Growth 5yr,0.4400405742249304
"Price/Earnings (TTM, GAAP)",56.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5149
Operating Profit Margin (TTM),0.1761
Net Profit Margin (TTM),0.13119999999999998
Annual Dividend Yield,0.013000000000000001
Dividend Change %,0.4167
"Dividend Growth Rate, 3 Years",0.10960000000000002
EPS Growth (MRQ),0.073
EPS Growth (TTM),-0.0073
Revenue Growth (MRQ),0.0219
Revenue Growth (TTM),0.11630000000000001
Return On Equity (TTM),0.3008
Return On Assets (TTM),0.1721
Return On Investment (TTM),0.22820000000000001
Revenue Per Employee (TTM),159858.0
Total Debt/Total Capital (MRQ),0.0945
Change in Debt/Total Capital Quarter over Quarter,0.006600000000000001
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),169.84
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-10 00:00:00
theStreet since,2021-04-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-11-30 00:00:00
ford since,2021-12-10 00:00:00
marketEdge opinion since,
