,FRPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.59,Valuation,
Price/Sales (TTM),5.87,3.73,Valuation,1.5737265415549597
Price/Book (MRQ),3.1,13.84,Valuation,0.2239884393063584
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.35380000000000006,0.272,Profitability,1.300735294117647
Operating Profit Margin (TTM),-0.10550000000000001,-0.0195,Profitability,5.410256410256411
Net Profit Margin (TTM),-0.1137,0.0633,Profitability,-1.7962085308056872
Annual Dividend Yield,,0.022400000000000003,Dividend,
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),0.1454,0.2782,Gowth rates,0.5226455787203451
EPS Growth (TTM),-1.5825,2.1703,Gowth rates,-0.7291618670229921
Revenue Growth (MRQ),0.0365,0.1463,Gowth rates,0.24948735475051262
Revenue Growth (TTM),0.3837,0.1387,Gowth rates,2.7664023071377075
Return On Equity (TTM),-0.0751,0.1827,Effectiveness,-0.41105637657361793
Return On Assets (TTM),-0.0644,0.0553,Effectiveness,-1.1645569620253164
Return On Investment (TTM),-0.0703,0.06559999999999999,Effectiveness,-1.0716463414634148
Revenue Per Employee (TTM),691229.0,841800.0,Effectiveness,0.8211320978854835
Total Debt/Total Capital (MRQ),0.0661,0.42450000000000004,Financial strength,0.15571260306242637
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),2.44,0.77,Financial strength,3.1688311688311686
Interest Coverage (MRQ),-7.21,6.87,Financial strength,-1.049490538573508
