,FRPT
% Above Low,0.8523000000000001
% Held by Institutions,1.1723999999999999
52-Wk Range,['36.02 - 118.77']
Annual Dividend $,
Annual Dividend %,
Ask,67.09
Ask Size,1900.0
B/A Ratio,0.5263157894736842
B/A Size,1000x1900
Beta,0.8
Bid,66.39
Bid Size,1000.0
Closing Price,66.72
Day Change $,1.7
Day Change %,0.026099999999999998
Day High,67.13
Day Low,64.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.45
Ex-dividend Date,No dividend
Historical Volatility,0.669
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,65.02
Short Interest,0.1079
Today's Open,64.49
Volume,156835.0
Volume 10-day Avg,442811.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.028985507246377
Growth 1yr High Est,1.1818181818181817
Growth 1yr Consensus Est,1.1054018445322793
Growth 2yr Low Est,0.4537784679089028
Growth 2yr High Est,0.09090909090909083
Growth 2yr Consensus Est,0.2723437794089968
Growth 5yr Low Est,2.4411749482401652
Growth 5yr High Est,-2.168831168831169
Growth 5yr Consensus Est,0.13617188970449817
Growth 5yr Actual/Est,2.146896853146853
Growth 3yr Historic,2.03125
Price/Earnings (TTM),
Price/Sales (TTM),5.87462
Price/Book (MRQ),3.09807
Price/Cash Flow (TTM),
5yr Low,15.67
5yr High,186.98
5yr Avg Return,0.39026666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.2617473
Dividend Growth 5yr,
Short Int Current Month,4995755.0
Short Int Prev Month,5741359.0
Short Int Pct of Float,0.1078766
Days to Cover,6.48517
Float,46.42158
Shares Outstanding,48.02007
Institutions Holding Shares,311.0
FCF Growth 5yr,0.14084220923393953
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35380000000000006
Operating Profit Margin (TTM),-0.10550000000000001
Net Profit Margin (TTM),-0.1137
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1454
EPS Growth (TTM),-1.5825
Revenue Growth (MRQ),0.0365
Revenue Growth (TTM),0.3837
Return On Equity (TTM),-0.0751
Return On Assets (TTM),-0.0644
Return On Investment (TTM),-0.0703
Revenue Per Employee (TTM),691229.0
Total Debt/Total Capital (MRQ),0.0661
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.44
Interest Coverage (MRQ),-7.21
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-12-22 00:00:00
researchTeam since,2021-12-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
