,CMPS
% Above Low,0.5367000000000001
% Held by Institutions,0.1709
52-Wk Range,['6.54 - 34.79']
Annual Dividend $,
Annual Dividend %,
Ask,10.33
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,
Bid,10.1
Bid Size,400.0
Closing Price,10.05
Day Change $,-0.43
Day Change %,-0.040999999999999995
Day High,10.72
Day Low,9.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.04
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,426.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.48
Short Interest,0.18170000000000003
Today's Open,10.55
Volume,99054.0
Volume 10-day Avg,242358.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6273584905660377
Growth 2yr High Est,0.03191489361702127
Growth 2yr Consensus Est,0.32963669209152946
Growth 5yr Low Est,0.6273584905660377
Growth 5yr High Est,0.03191489361702127
Growth 5yr Consensus Est,0.32963669209152946
Growth 5yr Actual/Est,-0.048315889041304905
Growth 3yr Historic,-0.1652582159624413
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.19812
Price/Cash Flow (TTM),
5yr Low,6.54
5yr High,61.69
5yr Avg Return,-0.022033333333333332
Short Int Current Month,3962467.0
Short Int Prev Month,3907938.0
Short Int Pct of Float,0.1817121
Days to Cover,10.57552
Float,6.7
Shares Outstanding,42.57654
Institutions Holding Shares,125.0
FCF Growth 5yr,0.1971309782982981
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1278
EPS Growth (TTM),-0.20829999999999999
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.34490000000000004
Return On Assets (TTM),-0.31980000000000003
Return On Investment (TTM),-0.3446
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,
cfra since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
