,ASO
% Below High,0.0151
% Held by Institutions,0.9926999999999999
52-Wk Range,['25.10 - 52.34']
Annual Dividend $,0.3
Annual Dividend %,0.0058
Ask,51.54
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,51.36
Bid Size,100.0
Closing Price,51.55
Day Change $,-0.46
Day Change %,-0.0088
Day High,52.3
Day Low,51.45
Dividend Pay Date,2022-10-13 00:00:00
"EPS (TTM, GAAP)",7.2
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.5710000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",7.16
Prev Close,52.01
Short Interest,0.1839
Today's Open,51.71
Volume,559692.0
Volume 10-day Avg,1703244.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.18722786647314948
Growth 2yr High Est,0.1253333333333333
Growth 2yr Consensus Est,-0.030947266569908094
Growth 5yr Low Est,-0.18722786647314948
Growth 5yr High Est,0.1253333333333333
Growth 5yr Consensus Est,-0.030947266569908094
Growth 5yr Actual/Est,0.3308353162692356
Growth 3yr Historic,0.3281114012184508
Price/Earnings (TTM),7.16227
Price/Sales (TTM),0.62698
Price/Book (MRQ),2.70157
Price/Cash Flow (TTM),5.49854
5yr Low,12.05
5yr High,52.34
5yr Avg Return,0.6714333333333333
EPS Growth 5yr,0.6328123
Revenue Growth 5yr,0.07406399999999999
Dividend Growth 5yr,
Short Int Current Month,14425927.0
Short Int Prev Month,12736074.0
Short Int Pct of Float,0.18385780000000002
Days to Cover,9.10432
Float,77.95109
Shares Outstanding,79.7366
Institutions Holding Shares,403.0
FCF Growth 5yr,0.3560712921331805
"Price/Earnings (TTM, GAAP)",7.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34509999999999996
Operating Profit Margin (TTM),0.13369999999999999
Net Profit Margin (TTM),0.09789999999999999
Annual Dividend Yield,0.0058
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3153
EPS Growth (TTM),0.32799999999999996
Revenue Growth (MRQ),0.1493
Revenue Growth (TTM),0.0376
Return On Equity (TTM),0.43229999999999996
Return On Assets (TTM),0.13820000000000002
Return On Investment (TTM),0.1837
Revenue Per Employee (TTM),297847.0
Total Debt/Total Capital (MRQ),0.31079999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.41
Interest Coverage (MRQ),23.18
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-05 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-10-05 00:00:00
marketEdge opinion since,
