,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,21.23,51.08,52.34,,,,,
low,12.05,19.87,25.1,,,,,
change,0.7132,1.1300000000000001,0.1711,,,,,
Date,,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,401.0,486.0,472.0,400.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,14.0,20.0,13.0,16.0,Balance Sheet
Prov. for Doubtful Accts,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,12.0,20.0,13.0,15.0,Balance Sheet
Total Inventory,,,,1326.0,1172.0,1324.0,1305.0,Balance Sheet
Prepaid Expenses,,,,44.0,36.0,40.0,46.0,Balance Sheet
"Other Curr. Assets, Total",,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Current Assets,,,,1786.0,1716.0,1850.0,1767.0,Balance Sheet
Buildings,,,,456.0,457.0,459.0,465.0,Balance Sheet
Land/Improvements,,,,4.0,4.0,4.0,4.0,Balance Sheet
Machinery/Equipment,,,,593.0,602.0,608.0,616.0,Balance Sheet
Construction in Progress,,,,16.0,11.0,20.0,38.0,Balance Sheet
Other Prop./Plant/Equip.,,,,1420.0,1416.0,1425.0,1431.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,2489.0,2490.0,2516.0,2554.0,Balance Sheet
Accumulated Depreciation,,,,-1043.0,-1065.0,-1090.0,-1116.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,1446.0,1425.0,1425.0,1438.0,Balance Sheet
"Goodwill, Net",,,,862.0,862.0,862.0,862.0,Balance Sheet
Intangibles - Net,,,,577.0,577.0,577.0,577.0,Balance Sheet
Other Long Term Assets,,,,6.0,5.0,4.0,10.0,Balance Sheet
Total Assets,,,,4676.0,4585.0,4719.0,4654.0,Balance Sheet
Accounts Payable,,,,919.0,738.0,825.0,778.0,Balance Sheet
Accrued Expenses,,,,208.0,225.0,158.0,173.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,3.0,3.0,3.0,3.0,Balance Sheet
Customer Advances,,,,67.0,95.0,83.0,81.0,Balance Sheet
Income Taxes Payable,,,,45.0,23.0,66.0,22.0,Balance Sheet
Other Current Liabilities,,,,71.0,44.0,53.0,63.0,Balance Sheet
"Other Curr. Lblts, Total",,,,183.0,161.0,202.0,165.0,Balance Sheet
Total Current Liabilities,,,,1313.0,1127.0,1189.0,1120.0,Balance Sheet
Total Long Term Debt,,,,684.0,684.0,683.0,683.0,Balance Sheet
Total Debt,,,,687.0,687.0,686.0,686.0,Balance Sheet
Deferred Income Tax,,,,188.0,217.0,224.0,235.0,Balance Sheet
"Other Liabilities, Total",,,,1115.0,1090.0,1094.0,1095.0,Balance Sheet
Total Liabilities,,,,3300.0,3118.0,3191.0,3133.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,188.0,198.0,200.0,197.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,1188.0,1268.0,1328.0,1324.0,Balance Sheet
Unrealized Gain (Loss),,,,-1.0,0.0,0.0,0.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,,,Balance Sheet
Total Equity,,,,1376.0,1467.0,1529.0,1521.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,4676.0,4585.0,4719.0,4654.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,88.0,87.0,85.0,80.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Income Statement
Total Revenue,,,,1593.0,1808.0,1468.0,1687.0,Income Statement
"Cost of Revenue, Total",,,,1032.0,1224.0,946.0,1091.0,Income Statement
Selling/Gen/Admin Expense,,,,315.0,355.0,287.0,307.0,Income Statement
Labor & Related Expense,,,,3.0,3.0,3.0,6.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,318.0,358.0,290.0,313.0,Income Statement
Depreciation/Amortization,,,,26.0,28.0,26.0,26.0,Income Statement
Unusual Expense (Income),,,,0.0,0.0,,0.0,Income Statement
Total Operating Expense,,,,1377.0,1610.0,1262.0,1430.0,Income Statement
Total Operating Income,,,,216.0,198.0,205.0,257.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-11.0,-11.0,-11.0,-11.0,Income Statement
OtherNon-OperatInc (Expnse),,,,1.0,1.0,1.0,1.0,Income Statement
"Other, Net",,,,1.0,1.0,1.0,1.0,Income Statement
Income Before Tax,,,,205.0,188.0,195.0,247.0,Income Statement
Income Tax - Total,,,,44.0,47.0,45.0,58.0,Income Statement
Income After Tax,,,,161.0,142.0,150.0,189.0,Income Statement
Net Inc Before Extra Items,,,,161.0,142.0,150.0,189.0,Income Statement
Total Net Income,,,,161.0,142.0,150.0,189.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,161.0,142.0,150.0,189.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,161.0,142.0,150.0,189.0,Income Statement
Basic/Primary Weighted Average Shares,,,,91.0,88.0,87.0,83.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,1.77,1.61,1.73,2.28,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,1.77,1.61,1.73,2.28,Income Statement
Diluted Weighted Average Shares,,,,94.0,91.0,89.0,85.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,1.72,1.56,1.69,2.22,Income Statement
Diluted EPS Incl. Extra. Items,,,,1.72,1.56,1.69,2.22,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.08,0.08,Income Statement
Gross Divid - Common Stock,,,,,,7.0,6.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,11.0,11.0,11.0,11.0,Income Statement
"Depreciat/Amort, Suppl",,,,26.0,28.0,26.0,26.0,Income Statement
Total Special Items,,,,0.0,0.0,1.0,2.0,Income Statement
Normalzd Income Before Tax,,,,205.0,188.0,196.0,249.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,0.0,-1.0,-2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,44.0,47.0,44.0,56.0,Income Statement
Normalized Income After Tax,,,,161.0,142.0,152.0,193.0,Income Statement
Normalzd Inc Avail to Common,,,,161.0,142.0,152.0,193.0,Income Statement
Basic Normalized EPS,,,,1.77,1.61,1.75,2.32,Income Statement
Diluted Normalized EPS,,,,1.72,1.56,1.71,2.27,Income Statement
Date,,,,2021-10-30 00:00:00,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Cash Flow
Net Income,,,,530.0,671.0,150.0,339.0,Cash Flow
Depreciation/Depletion,,,,78.0,105.0,26.0,52.0,Cash Flow
Deferred Taxes,,,,49.0,79.0,7.0,18.0,Cash Flow
Unusual Items,,,,2.0,2.0,,0.0,Cash Flow
Other Non-Cash Items,,,,43.0,48.0,4.0,5.0,Cash Flow
Non-Cash Items,,,,45.0,50.0,4.0,5.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,96.0,125.0,0.0,90.0,Cash Flow
