,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,20.0,20.75,20.43,33.38,39.75,41.79,,,,,
low,18.2,15.55,12.12,16.12,24.93,29.61,,,,,
change,-0.0357,-0.0992,0.17010000000000003,0.5941,0.1176,-0.0069,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,179.0,140.0,955.0,793.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,144.0,153.0,222.0,200.0,Balance Sheet
Other Receivables,,,,,,,,,2.0,,Balance Sheet
"Total Receivables, Net",,,,,,,144.0,153.0,224.0,200.0,Balance Sheet
Total Inventory,,,,,,,37.0,38.0,39.0,48.0,Balance Sheet
Prepaid Expenses,,,,,,,65.0,61.0,75.0,61.0,Balance Sheet
Restricted Cash - Current,,,,,,,475.0,326.0,333.0,363.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,631.0,653.0,0.0,0.0,Balance Sheet
Other Current Assets,,,,,,,,2.0,9.0,23.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,1106.0,981.0,342.0,386.0,Balance Sheet
Total Current Assets,,,,,,,1531.0,1373.0,1635.0,1488.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,10151.0,10284.0,10290.0,10561.0,Balance Sheet
Accumulated Depreciation,,,,,,,-2501.0,-2623.0,-2745.0,-3124.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,8200.0,8189.0,8055.0,7956.0,Balance Sheet
Intangibles - Gross,,,,,,,3104.0,3025.0,3027.0,3265.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-605.0,-646.0,-687.0,-728.0,Balance Sheet
Intangibles - Net,,,,,,,2499.0,2457.0,2419.0,2615.0,Balance Sheet
Long Term Investments,,,,,,,381.0,374.0,375.0,377.0,Balance Sheet
Other Long Term Assets,,,,,,,107.0,135.0,164.0,160.0,Balance Sheet
Total Assets,,,,,,,12813.0,12628.0,12648.0,12596.0,Balance Sheet
Accounts Payable,,,,,,,181.0,91.0,75.0,68.0,Balance Sheet
Accrued Expenses,,,,,,,138.0,95.0,142.0,168.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,772.0,770.0,457.0,493.0,Balance Sheet
Discontinued Operations,,,,,,,494.0,500.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,,,,46.0,71.0,75.0,79.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,540.0,571.0,75.0,79.0,Balance Sheet
Total Current Liabilities,,,,,,,1631.0,1527.0,749.0,808.0,Balance Sheet
Total Long Term Debt,,,,,,,6939.0,6979.0,6605.0,6519.0,Balance Sheet
Total Debt,,,,,,,7711.0,7749.0,7062.0,7012.0,Balance Sheet
Deferred Income Tax,,,,,,,13.0,11.0,110.0,125.0,Balance Sheet
Minority Interest,,,,,,,1466.0,1377.0,1900.0,1825.0,Balance Sheet
"Other Liabilities, Total",,,,,,,930.0,972.0,991.0,1028.0,Balance Sheet
Total Liabilities,,,,,,,10979.0,10866.0,10355.0,10305.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1872.0,1826.0,1785.0,1786.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-33.0,-65.0,505.0,494.0,Balance Sheet
"Other Equity, Total",,,,,,,-6.0,0.0,2.0,10.0,Balance Sheet
Total Equity,,,,,,,1834.0,1762.0,2293.0,2291.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,12813.0,12628.0,12648.0,12596.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,,35.0,35.0,35.0,35.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,,43.0,43.0,43.0,43.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,,,82.0,82.0,82.0,82.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 4,,,,,,,43.0,43.0,43.0,42.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,202.0,202.0,202.0,202.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 4,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,318.0,214.0,368.0,340.0,Income Statement
