,CWEN
% Below High,0.1381
% Held by Institutions,
52-Wk Range,['29.61 - 41.79']
Annual Dividend $,1.47
Annual Dividend %,0.0408
Ask,38.46
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,30.0
Bid Size,100.0
Closing Price,36.02
Day Change $,0.15
Day Change %,0.0042
Day High,36.25
Day Low,35.82
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.32299999999999995
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,35.87
Short Interest,
Today's Open,35.82
Volume,177670.0
Volume 10-day Avg,497701.0
Volume Past Day,(Light)
5yr Low,12.12
5yr High,41.79
5yr Avg Return,0.12333333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0443838
Dividend Growth 5yr,
FCF Growth 5yr,1.4972064719516485
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
theStreet,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-08-03 00:00:00
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
