,FIGS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.66,61.36,Valuation,0.597457627118644
Price/Sales (TTM),2.12,9.8,Valuation,0.21632653061224488
Price/Book (MRQ),3.54,10.31,Valuation,0.3433559650824442
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7059000000000001,0.6196,Profitability,1.1392834086507424
Operating Profit Margin (TTM),0.1038,0.047,Profitability,2.2085106382978723
Net Profit Margin (TTM),0.0621,0.009300000000000001,Profitability,6.677419354838709
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.158,-0.4858,Gowth rates,0.32523672293124745
EPS Growth (TTM),3.2268000000000003,-0.2029,Gowth rates,-15.903400689995074
Revenue Growth (MRQ),0.0519,0.1161,Gowth rates,0.4470284237726099
Revenue Growth (TTM),0.2848,0.18300000000000002,Gowth rates,1.5562841530054643
Return On Equity (TTM),0.11880000000000002,0.1068,Effectiveness,1.1123595505617978
Return On Assets (TTM),0.0907,0.0622,Effectiveness,1.4581993569131833
Return On Investment (TTM),0.1142,0.0732,Effectiveness,1.5601092896174862
Revenue Per Employee (TTM),1854678.0,403586.0,Effectiveness,4.595496374998142
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),2.33,2.25,Financial strength,1.0355555555555556
Interest Coverage (MRQ),,14.99,Financial strength,
